"n","p","replication","implementation","time_seconds","batch_calls"
5000,1000,11,"mfscreen",0.00674999999999981,8
5000,1000,12,"mfscreen",0.00687499999999996,8
5000,1000,1,"mfscreen",0.000687500000000008,128
5000,1000,2,"mfscreen",0.000687500000000008,128
5000,1000,3,"mfscreen",0.000687500000000008,128
5000,1000,4,"mfscreen",0.000679687499999998,128
5000,1000,5,"mfscreen",0.000687500000000008,128
5000,1000,6,"mfscreen",0.000687500000000008,128
5000,1000,7,"mfscreen",0.000671875000000016,128
5000,1000,8,"mfscreen",0.00068749999999998,128
5000,1000,9,"mfscreen",0.000679687499999998,128
5000,1000,10,"mfscreen",0.000679687499999998,128
5000,1000,11,"mfscreen",0.00068749999999998,128
5000,1000,12,"mfscreen",0.000679687500000026,128
500,5000,1,"mfscreen",0.00350000000000006,16
500,5000,2,"mfscreen",0.00337499999999991,16
500,5000,3,"mfscreen",0.00337499999999991,16
500,5000,4,"mfscreen",0.00337499999999991,16
500,5000,5,"mfscreen",0.00337499999999991,16
500,5000,6,"mfscreen",0.00337500000000013,16
500,5000,7,"mfscreen",0.00343749999999998,16
500,5000,8,"mfscreen",0.00337499999999991,16
500,5000,9,"mfscreen",0.00331250000000005,16
500,5000,10,"mfscreen",0.00337500000000013,16
500,5000,11,"mfscreen",0.00331250000000005,16
500,5000,12,"mfscreen",0.00337499999999991,16
500,5000,1,"mfscreen",0.000390625000000006,256
500,5000,2,"mfscreen",0.000394531249999996,256
500,5000,3,"mfscreen",0.000402343749999992,256
500,5000,4,"mfscreen",0.000390625000000006,256
500,5000,5,"mfscreen",0.000394531249999996,256
500,5000,6,"mfscreen",0.000394531249999996,256
500,5000,7,"mfscreen",0.000394531249999996,256
500,5000,8,"mfscreen",0.000394531249999996,256
500,5000,9,"mfscreen",0.000394531249999996,256
500,5000,10,"mfscreen",0.000394531249999996,256
500,5000,11,"mfscreen",0.000402343749999992,256
500,5000,12,"mfscreen",0.000390625000000006,256
2000,5000,1,"mfscreen",0.0137499999999999,4
2000,5000,2,"mfscreen",0.0137499999999999,4
2000,5000,3,"mfscreen",0.0137499999999999,4
2000,5000,4,"mfscreen",0.0140000000000002,4
2000,5000,5,"mfscreen",0.0139999999999993,4
2000,5000,6,"mfscreen",0.0140000000000002,4
2000,5000,7,"mfscreen",0.0137499999999999,4
2000,5000,8,"mfscreen",0.0139999999999993,4
2000,5000,9,"mfscreen",0.0137499999999999,4
2000,5000,10,"mfscreen",0.0137500000000008,4
2000,5000,11,"mfscreen",0.0140000000000002,4
2000,5000,12,"mfscreen",0.0137499999999999,4
2000,5000,1,"mfscreen",0.00128125000000001,64
2000,5000,2,"mfscreen",0.00128125000000001,64
2000,5000,3,"mfscreen",0.00128125000000001,64
2000,5000,4,"mfscreen",0.00131249999999999,64
2000,5000,5,"mfscreen",0.00128125000000001,64
2000,5000,6,"mfscreen",0.00132812500000001,64
2000,5000,7,"mfscreen",0.00129687499999998,64
2000,5000,8,"mfscreen",0.00129687499999998,64
2000,5000,9,"mfscreen",0.00134374999999998,64
2000,5000,10,"mfscreen",0.00129687500000003,64
2000,5000,11,"mfscreen",0.00129687500000003,64
2000,5000,12,"mfscreen",0.00148437499999998,64
5000,5000,1,"mfscreen",0.0360000000000014,2
5000,5000,2,"mfscreen",0.0365000000000002,2
5000,5000,3,"mfscreen",0.0350000000000001,2
5000,5000,4,"mfscreen",0.0355000000000008,2
5000,5000,5,"mfscreen",0.0355000000000008,2
5000,5000,6,"mfscreen",0.0350000000000001,2
5000,5000,7,"mfscreen",0.035499999999999,2
5000,5000,8,"mfscreen",0.0350000000000001,2
5000,5000,9,"mfscreen",0.035499999999999,2
5000,5000,10,"mfscreen",0.0355000000000008,2
5000,5000,11,"mfscreen",0.0355000000000008,2
5000,5000,12,"mfscreen",0.0355000000000008,2
5000,5000,1,"mfscreen",0.00309375000000001,32
5000,5000,2,"mfscreen",0.00309375000000001,32
5000,5000,3,"mfscreen",0.00309375000000001,32
5000,5000,4,"mfscreen",0.00306249999999997,32
5000,5000,5,"mfscreen",0.00303125000000004,32
5000,5000,6,"mfscreen",0.00309375000000001,32
5000,5000,7,"mfscreen",0.00306250000000008,32
5000,5000,8,"mfscreen",0.00312500000000004,32
5000,5000,9,"mfscreen",0.00324999999999998,32
5000,5000,10,"mfscreen",0.00312499999999993,32
5000,5000,11,"mfscreen",0.00315624999999997,32
5000,5000,12,"mfscreen",0.00312500000000004,32
