"n","TPR","FPR","Mean_selected_model_size"
500,0.824142857142857,0.103821752265861,217.728
1000,0.896142857142857,0.101164149043303,213.458
2000,0.963,0.100981873111782,214.032
2500,0.979428571428571,0.100645518630413,213.594
