"n","FPR_hat","FPR_minus_q","abs_FPR_minus_q","MC_SE","sqrt_n_times_abs_FPR_minus_q","signal_to_MC_noise"
3797,0.4934,-0.0066,0.0066,0.00499956438102361,0.406690693279303,1.32011501343017
5695,0.4975,-0.0025,0.0025,0.00499993749960937,0.188663059447259,0.50000625011719
8543,0.5093,0.00929999999999997,0.00929999999999997,0.00499913502518186,0.85958366084983,1.86032182630667
12814,0.5015,0.00149999999999995,0.00149999999999995,0.00499997749994937,0.169798409886541,0.300001350009102
19222,0.4959,-0.00409999999999999,0.00409999999999999,0.00499983189717414,0.568438052913419,0.820027569790351
28833,0.4985,-0.0015,0.0015,0.00499997749994938,0.25470424024739,0.300001350009113
