"n","B","FPR_hat","MC_SE","FPR_minus_q","abs_FPR_minus_q","sqrt_n_times_abs_FPR_minus_q","signal_to_MC_noise"
450,5000,0.5016,0.0070710316079056,0.00160000000000005,0.00160000000000005,0.0339411254969553,0.22627532851235
675,7500,0.491866666666667,0.00577273879412408,-0.00813333333333333,0.00813333333333333,0.211310198523403,1.40892107254394
1012,11245,0.506803023566029,0.00471465666295703,0.00680302356602935,0.00680302356602935,0.216417428123592,1.44295206467113
1519,16878,0.495674842990876,0.00384851571039731,-0.00432515700912428,0.00432515700912428,0.168570185413327,1.12385068285917
2278,25312,0.502765486725664,0.00314267977370419,0.00276548672566368,0.00276548672566368,0.131992251811743,0.879977256608643
3417,37967,0.49893328416783,0.00256605449286872,-0.00106671583217005,0.00106671583217005,0.0623549923565056,0.415702719928413
5126,56956,0.504248893882997,0.00209500267761172,0.00424889388299743,0.00424889388299743,0.3042041857827,2.02810904654362
7689,85434,0.502352693307114,0.0017106053512766,0.0023526933071143,0.0023526933071143,0.206300484283848,1.37535715374591
