"n","p","matrix_gb","replication","implementation","time_seconds","batch_calls"
10000,1000,0.0745058059692383,1,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,2,"mfscreen0",0.0146249999999999,8
10000,1000,0.0745058059692383,3,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,4,"mfscreen0",0.01475,8
10000,1000,0.0745058059692383,5,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,6,"mfscreen0",0.0145,8
10000,1000,0.0745058059692383,7,"mfscreen0",0.0146249999999999,8
10000,1000,0.0745058059692383,8,"mfscreen0",0.0148750000000002,8
10000,1000,0.0745058059692383,1,"mfscreen",0.0013515625,128
10000,1000,0.0745058059692383,2,"mfscreen",0.0013359375,128
10000,1000,0.0745058059692383,3,"mfscreen",0.0013359375,128
10000,1000,0.0745058059692383,4,"mfscreen",0.00141406249999999,128
10000,1000,0.0745058059692383,5,"mfscreen",0.00131249999999999,128
10000,1000,0.0745058059692383,6,"mfscreen",0.001359375,128
10000,1000,0.0745058059692383,7,"mfscreen",0.0013203125,128
10000,1000,0.0745058059692383,8,"mfscreen",0.0013203125,128
50000,1000,0.372529029846191,1,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,2,"mfscreen0",0.0745000000000005,2
50000,1000,0.372529029846191,3,"mfscreen0",0.073500000000001,2
50000,1000,0.372529029846191,4,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,5,"mfscreen0",0.0730000000000004,2
50000,1000,0.372529029846191,6,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,7,"mfscreen0",0.0730000000000004,2
50000,1000,0.372529029846191,8,"mfscreen0",0.0734999999999992,2
50000,1000,0.372529029846191,1,"mfscreen",0.00612499999999994,32
50000,1000,0.372529029846191,2,"mfscreen",0.00621875000000005,32
50000,1000,0.372529029846191,3,"mfscreen",0.00615624999999997,32
50000,1000,0.372529029846191,4,"mfscreen",0.00609375000000001,32
