"n","TPR","FPR","Mean_selected_model_size"
500,0.830857142857143,0.154979859013092,319.422
1000,0.910428571428571,0.152440080563948,315.492
2000,0.966142857142857,0.151776435045317,314.954
2500,0.980142857142857,0.151004028197382,313.616
