"n","TPR","FPR","Mean_selected_model_size"
500,0.816142857142857,0.103371601208459,216.722
1000,0.899428571428571,0.101654582074522,214.478
2000,0.961,0.100944612286002,213.93
2500,0.977285714285714,0.100990936555891,214.25
