"n","p","mean_seconds_mfscreen0","sd_seconds_mfscreen0","mean_seconds_mfscreen","sd_seconds_mfscreen","speedup"
2000,1000,0.00283593750000002,1.94244237658803e-05,0.000337890625000002,2.63359321274558e-06,8.39306358381501
2000,200,0.000555989583333332,4.51054897804327e-06,0.000140299479166665,1.12763724451237e-06,3.96287703016246
2000,5000,0.0144791666666667,0.000167139480855363,0.00134375000000001,2.58038382451409e-05,10.7751937984496
500,1000,0.000692057291666661,6.19501141483102e-06,0.000149902343750001,8.833340173177e-07,4.6167209554831
500,200,0.0001376953125,1.01998626536546e-06,0.000120442708333333,3.93573155031868e-06,1.14324324324325
500,5000,0.00353125,3.26395604916753e-05,0.000395182291666662,7.7828509366816e-06,8.93574958813851
5000,1000,0.00716666666666658,6.15457454897143e-05,0.000704427083333334,1.96610271751812e-05,10.1737523105359
5000,200,0.00140364583333333,9.02109795608145e-06,0.0002255859375,1.7666680346361e-06,6.22222222222219
5000,5000,0.036208333333333,0.000396480730549134,0.00320052083333329,8.37024259948782e-05,11.313262815297
