"n","p","matrix_gb","replication","implementation","time_seconds","batch_calls"
10000,1000,0.0745058059692383,1,"mfscreen",0.013375,8
10000,1000,0.0745058059692383,2,"mfscreen",0.013375,8
10000,1000,0.0745058059692383,3,"mfscreen",0.013375,8
10000,1000,0.0745058059692383,4,"mfscreen",0.013625,8
10000,1000,0.0745058059692383,5,"mfscreen",0.013375,8
10000,1000,0.0745058059692383,6,"mfscreen",0.01325,8
10000,1000,0.0745058059692383,7,"mfscreen",0.013375,8
10000,1000,0.0745058059692383,8,"mfscreen",0.0135,8
10000,1000,0.0745058059692383,1,"mfscreen",0.0012890625,128
10000,1000,0.0745058059692383,2,"mfscreen",0.001265625,128
10000,1000,0.0745058059692383,3,"mfscreen",0.001359375,128
10000,1000,0.0745058059692383,4,"mfscreen",0.0013046875,128
10000,1000,0.0745058059692383,5,"mfscreen",0.001296875,128
10000,1000,0.0745058059692383,6,"mfscreen",0.001328125,128
10000,1000,0.0745058059692383,7,"mfscreen",0.0013125,128
10000,1000,0.0745058059692383,8,"mfscreen",0.001296875,128
50000,1000,0.372529029846191,1,"mfscreen",0.0680000000000001,2
50000,1000,0.372529029846191,2,"mfscreen",0.0680000000000001,2
50000,1000,0.372529029846191,3,"mfscreen",0.0684999999999998,2
50000,1000,0.372529029846191,4,"mfscreen",0.069,2
50000,1000,0.372529029846191,5,"mfscreen",0.0680000000000001,2
50000,1000,0.372529029846191,6,"mfscreen",0.0680000000000005,2
50000,1000,0.372529029846191,7,"mfscreen",0.0685000000000002,2
50000,1000,0.372529029846191,8,"mfscreen",0.0680000000000005,2
50000,1000,0.372529029846191,1,"mfscreen",0.00609375000000001,32
50000,1000,0.372529029846191,2,"mfscreen",0.00628124999999996,32
50000,1000,0.372529029846191,3,"mfscreen",0.00603124999999999,32
50000,1000,0.372529029846191,4,"mfscreen",0.00587500000000002,32
50000,1000,0.372529029846191,5,"mfscreen",0.00615625000000003,32
50000,1000,0.372529029846191,6,"mfscreen",0.00612499999999999,32
50000,1000,0.372529029846191,7,"mfscreen",0.00621875,32
50000,1000,0.372529029846191,8,"mfscreen",0.006,32
