"scenario","method","q","fpr","ssp","selected_count","fpr_sd","ssp_sd","selected_count_sd","fpr_inflation"
"Clean homoskedastic","Spearman SIS",0.025,0.0248174204355109,0.993333333333333,29.6866666666667,0.0046821640982371,0.0816496580927723,4.64315425457386,0.992696817420435
"Clean homoskedastic","Spearman SIS",0.05,0.0498693467336683,1,54.62,0.00591972229839191,0,5.89012368689995,0.997386934673367
"Clean homoskedastic","Spearman SIS",0.1,0.0998994974874372,1,104.4,0.00883863927781996,0,8.79444608143086,0.998994974874372
"Clean homoskedastic","Spearman SIS",0.2,0.201594639865997,1,205.586666666667,0.0131406997022226,0,13.0749962037115,1.00797319932998
"Clean homoskedastic","Spearman SIS",0.3,0.300971524288107,1,304.466666666667,0.0144124433987644,0,14.3403811817705,1.00323841429369
"Shared volatility","mfscreen",0.001,0.00150083752093802,0.746666666666667,6.23333333333333,0.00119738034830695,0.436377194555824,1.26074797585123,1.50083752093802
"Shared volatility","mfscreen",0.005,0.00655276381909548,0.906666666666667,11.4266666666667,0.00259248948382398,0.291873528432355,2.5628912643945,1.3105527638191
"Shared volatility","mfscreen",0.01,0.0121206030150754,0.92,16.98,0.00381456645128419,0.272202056809907,3.78529475415574,1.21206030150754
"Shared volatility","mfscreen",0.025,0.0287236180904523,0.973333333333333,33.5533333333333,0.00554312417725125,0.161647004039632,5.51329895111673,1.14894472361809
"Shared volatility","mfscreen",0.05,0.0559731993299833,0.98,60.6733333333333,0.00812737026293978,0.140469013039037,8.07805600465345,1.11946398659966
"Shared volatility","mfscreen",0.1,0.108877721943049,1,113.333333333333,0.0106251329389833,0,10.5720072742884,1.08877721943049
"Shared volatility","mfscreen",0.2,0.212093802345059,1,216.033333333333,0.0136061532589597,0,13.5381224926649,1.06046901172529
"Shared volatility","mfscreen",0.3,0.315128978224456,1,318.553333333333,0.018310036504053,0,18.2184863215327,1.05042992741485
"Shared volatility","Pearson SIS",0.001,0.0345125628140703,0.773333333333333,39.1066666666667,0.0355375501056309,0.420077759926406,35.3048367632741,34.5125628140703
"Shared volatility","Pearson SIS",0.005,0.0689916247906198,0.9,73.5466666666667,0.0429944341985199,0.301005027940793,42.7676078054983,13.798324958124
"Shared volatility","Pearson SIS",0.01,0.0941641541038526,0.913333333333333,98.6066666666667,0.0463270932732375,0.282288506487343,46.0760819122545,9.41641541038526
"Shared volatility","Pearson SIS",0.025,0.143939698492462,0.973333333333333,148.193333333333,0.0517083767069401,0.161647004039632,51.4406801998024,5.75758793969849
"Shared volatility","Pearson SIS",0.05,0.199638190954774,0.98,203.62,0.0541808815696305,0.140469013039037,53.905045772465,3.99276381909548
"Shared volatility","Pearson SIS",0.1,0.282458961474037,1,286.046666666667,0.056318774322104,0,56.0371804504934,2.82458961474037
"Shared volatility","Pearson SIS",0.2,0.402686767169179,1,405.673333333333,0.0546422580341396,0,54.3690467439689,2.0134338358459
"Shared volatility","Pearson SIS",0.3,0.496730318257956,1,499.246666666667,0.048390483329676,0,48.1485309130276,1.65576772752652
"Shared volatility","Spearman SIS",0.001,0.00229815745393635,0.873333333333333,7.16,0.00133441765024907,0.333713429822427,1.36140472262731,2.29815745393635
"Shared volatility","Spearman SIS",0.005,0.00936013400335008,0.946666666666667,14.26,0.0028596089563422,0.225450084258512,2.8788280613318,1.87202680067002
"Shared volatility","Spearman SIS",0.01,0.0171859296482412,0.96,22.06,0.00403146684946121,0.196615660924569,4.01378497165179,1.71859296482412
"Shared volatility","Spearman SIS",0.025,0.0374204355108878,0.986666666666667,42.22,0.00604072759268575,0.115081918104976,6.01772549508767,1.49681742043551
"Shared volatility","Spearman SIS",0.05,0.0685025125628141,1,73.16,0.00841434942749705,0,8.37227768035957,1.37005025125628
"Shared volatility","Spearman SIS",0.1,0.126425460636516,1,130.793333333333,0.00996306091226961,0,9.91324560770826,1.26425460636516
"Shared volatility","Spearman SIS",0.2,0.233641541038526,1,237.473333333333,0.0135112979124396,0,13.4437414228774,1.16820770519263
"Shared volatility","Spearman SIS",0.3,0.336214405360134,1,339.533333333333,0.0153764266572195,0,15.2995445239334,1.12071468453378
