"scenario","method","replication","q","fpr","ssp","selected_count"
"Clean homoskedastic","mfscreen",4,0.05,0.0592964824120603,1,64
"Clean homoskedastic","mfscreen",4,0.1,0.111557788944724,1,116
"Clean homoskedastic","mfscreen",4,0.2,0.203015075376884,1,207
"Clean homoskedastic","mfscreen",4,0.3,0.300502512562814,1,304
"Clean homoskedastic","Pearson SIS",4,0.001,0.00100502512562814,0,5
"Clean homoskedastic","Pearson SIS",4,0.005,0.00904522613065327,0,13
"Clean homoskedastic","Pearson SIS",4,0.01,0.014070351758794,0,18
"Clean homoskedastic","Pearson SIS",4,0.025,0.0321608040201005,0,36
"Clean homoskedastic","Pearson SIS",4,0.05,0.0562814070351759,1,61
"Clean homoskedastic","Pearson SIS",4,0.1,0.104522613065327,1,109
"Clean homoskedastic","Pearson SIS",4,0.2,0.202010050251256,1,206
"Clean homoskedastic","Pearson SIS",4,0.3,0.294472361809045,1,298
"Clean homoskedastic","Spearman SIS",4,0.001,0.00201005025125628,0,6
"Clean homoskedastic","Spearman SIS",4,0.005,0.00703517587939699,0,11
"Clean homoskedastic","Spearman SIS",4,0.01,0.0170854271356784,0,21
"Clean homoskedastic","Spearman SIS",4,0.025,0.0361809045226131,0,40
"Clean homoskedastic","Spearman SIS",4,0.05,0.0522613065326633,1,57
"Clean homoskedastic","Spearman SIS",4,0.1,0.0994974874371859,1,104
"Clean homoskedastic","Spearman SIS",4,0.2,0.193969849246231,1,198
"Clean homoskedastic","Spearman SIS",4,0.3,0.303517587939699,1,307
"Clean homoskedastic","mfscreen",5,0.001,0.00100502512562814,1,6
"Clean homoskedastic","mfscreen",5,0.005,0.0050251256281407,1,10
"Clean homoskedastic","mfscreen",5,0.01,0.0100502512562814,1,15
"Clean homoskedastic","mfscreen",5,0.025,0.0170854271356784,1,22
"Clean homoskedastic","mfscreen",5,0.05,0.0462311557788945,1,51
"Clean homoskedastic","mfscreen",5,0.1,0.0984924623115578,1,103
"Clean homoskedastic","mfscreen",5,0.2,0.18894472361809,1,193
"Clean homoskedastic","mfscreen",5,0.3,0.287437185929648,1,291
"Clean homoskedastic","Pearson SIS",5,0.001,0.00100502512562814,1,6
