"n","p","mean_seconds","sd_seconds"
800,1000,0.000200000000000008,1.28166214204764e-17
1600,1000,0.000300000000000011,0
3200,1000,0.000533333333333334,2.88675134594909e-05
800,3000,4e-04,0
1600,3000,0.000749999999999991,1.28323468677768e-17
3200,3000,0.0015,5.00000000000167e-05
800,6000,0.000749999999999999,2.56645792302934e-17
1600,6000,0.00141666666666666,2.88675134594846e-05
3200,6000,0.00286666666666667,7.63762615825865e-05
