"method","parameter","parameter_label","fdr","fpr","tpr","ssp","selected_count","fdr_sd","fpr_sd","tpr_sd","ssp_sd","selected_count_sd"
"Pearson SIS",80,"top 80",0.8278125,0.0333459214501511,0.983928571428571,0.8,80,0.00595838681336834,0.000240015581605975,0.034047924647819,0.402523684341302,0
"Pearson SIS",120,"top 120",0.884791666666667,0.0534617321248741,0.9875,0.85,120,0.00369717838205684,0.000223394464172617,0.0316901004176298,0.359324260314598,0
"Pearson SIS",160,"top 160",0.913359375,0.073583836858006,0.990178571428571,0.875,160,0.00238330285860249,0.000192008286695065,0.027237746955457,0.332805489243922,0
"Pearson SIS",220,"top 220",0.936647727272727,0.103757552870091,0.995535714285714,0.9375,220,0.00110722125419595,0.000122652908319794,0.0173991911373651,0.243588675923112,0
"Poisson-score SIS",14,"top 14",0.0830357142857143,0.000585347432024169,0.916964285714286,0.25,14,0.0657250462925087,0.000463318553925036,0.0657250462925087,0.435744670330595,0
"Poisson-score SIS",20,"top 20",0.333125,0.00335473313192346,0.952678571428571,0.5125,20,0.0405217163218796,0.000408073678971597,0.0578881661741138,0.502997345036655,0
"Poisson-score SIS",30,"top 30",0.550416666666667,0.00831445115810675,0.963392857142857,0.6,30,0.0237152291922288,0.000358236090517053,0.0508183482690618,0.492988818010657,0
"Poisson-score SIS",40,"top 40",0.6596875,0.0132867573011078,0.972321428571429,0.6875,40,0.016154784336599,0.000325373299830795,0.0461565266759972,0.466436802942521,0
"Poisson-score SIS",60,"top 60",0.771666666666667,0.023313192346425,0.978571428571429,0.75,60,0.0093381542702939,0.000282119464359333,0.0400206611584026,0.435744670330595,0
"Poisson-score SIS",80,"top 80",0.8278125,0.0333459214501511,0.983928571428571,0.8,80,0.00595838681336834,0.000240015581605975,0.034047924647819,0.402523684341302,0
"Poisson-score SIS",120,"top 120",0.884791666666667,0.0534617321248741,0.9875,0.85,120,0.00369717838205684,0.000223394464172617,0.0316901004176298,0.359324260314598,0
"Poisson-score SIS",160,"top 160",0.913359375,0.073583836858006,0.990178571428571,0.875,160,0.00238330285860249,0.000192008286695065,0.027237746955457,0.332805489243922,0
"Poisson-score SIS",220,"top 220",0.936647727272727,0.103757552870091,0.995535714285714,0.9375,220,0.00110722125419595,0.000122652908319794,0.0173991911373651,0.243588675923112,0
"Poisson-Wald SIS",14,"top 14",0.0830357142857143,0.000585347432024169,0.916964285714286,0.25,14,0.0657250462925087,0.000463318553925036,0.0657250462925087,0.435744670330595,0
"Poisson-Wald SIS",20,"top 20",0.333125,0.00335473313192346,0.952678571428571,0.5125,20,0.0405217163218796,0.000408073678971597,0.0578881661741138,0.502997345036655,0
"Poisson-Wald SIS",30,"top 30",0.550416666666667,0.00831445115810675,0.963392857142857,0.6,30,0.0237152291922288,0.000358236090517053,0.0508183482690618,0.492988818010657,0
"Poisson-Wald SIS",40,"top 40",0.6596875,0.0132867573011078,0.972321428571429,0.6875,40,0.016154784336599,0.000325373299830795,0.0461565266759972,0.466436802942521,0
"Poisson-Wald SIS",60,"top 60",0.771666666666667,0.023313192346425,0.978571428571429,0.75,60,0.0093381542702939,0.000282119464359333,0.0400206611584026,0.435744670330595,0
"Poisson-Wald SIS",80,"top 80",0.8278125,0.0333459214501511,0.983928571428571,0.8,80,0.00595838681336834,0.000240015581605975,0.034047924647819,0.402523684341302,0
"Poisson-Wald SIS",120,"top 120",0.884791666666667,0.0534617321248741,0.9875,0.85,120,0.00369717838205684,0.000223394464172617,0.0316901004176298,0.359324260314598,0
"Poisson-Wald SIS",160,"top 160",0.913359375,0.073583836858006,0.990178571428571,0.875,160,0.00238330285860249,0.000192008286695065,0.027237746955457,0.332805489243922,0
"Poisson-Wald SIS",220,"top 220",0.936647727272727,0.103757552870091,0.995535714285714,0.9375,220,0.00110722125419595,0.000122652908319794,0.0173991911373651,0.243588675923112,0
"Spearman SIS",14,"top 14",0.0678571428571429,0.000478348439073515,0.932142857142857,0.375,14,0.0680958492956379,0.00048003116321195,0.068095849295638,0.487177351846223,0
"Spearman SIS",20,"top 20",0.3275,0.00329808660624371,0.960714285714286,0.6125,20,0.0404875351970099,0.00040772945817734,0.0578393359957284,0.490253099190431,0
"Spearman SIS",30,"top 30",0.54625,0.00825151057401813,0.972321428571429,0.7,30,0.0221830702923409,0.000335091696258926,0.0475351506264448,0.461148813126632,0
"Spearman SIS",40,"top 40",0.6565625,0.0132238167170191,0.98125,0.775,40,0.0130382531154982,0.000262603285307113,0.0372521517585662,0.420216942163227,0
"Spearman SIS",60,"top 60",0.769583333333333,0.0232502517623364,0.9875,0.85,60,0.00739435676411362,0.000223394464172617,0.0316901004176298,0.359324260314598,0
"Spearman SIS",80,"top 80",0.8265625,0.0332955689828802,0.991071428571429,0.8875,80,0.00461105921547401,0.000185742566585055,0.0263489098027085,0.317974204829116,0
"Spearman SIS",120,"top 120",0.883854166666667,0.0534050855991944,0.995535714285714,0.9375,120,0.00202990563269262,0.000122652908319794,0.0173991911373651,0.243588675923112,0
"Spearman SIS",160,"top 160",0.912890625,0.0735460725075529,0.995535714285714,0.9375,160,0.00152242922451944,0.000122652908319794,0.0173991911373651,0.243588675923112,0
"Spearman SIS",220,"top 220",0.936590909090909,0.103751258811682,0.996428571428571,0.95,220,0.000996909126378063,0.000110433035147621,0.0156657148430839,0.219320007803175,0
