"n","p","same_selected_indices"
10000,1000,TRUE
50000,1000,TRUE
100000,1000,TRUE
10000,5000,TRUE
50000,5000,TRUE
100000,5000,TRUE
10000,10000,TRUE
50000,10000,TRUE
100000,10000,TRUE
