"n","p","matrix_gb","implementation","mean_seconds","sd_seconds","min_seconds","max_seconds","batch_calls","n_rep"
10000,1000,0.0745058059692383,"mfscreen",0.01340625,0.000110800657553484,0.01325,0.013625,8,8
50000,1000,0.372529029846191,"mfscreen",0.0682500000000001,0.000377964473009102,0.0680000000000001,0.069,2,8
100000,1000,0.745058059692383,"mfscreen",0.1396,0.00482700735445846,0.136000000000001,0.148,1,5
10000,5000,0.372529029846191,"mfscreen",0.0699375000000001,0.000678101340930337,0.0685000000000002,0.0705000000000009,2,8
50000,5000,1.86264514923096,"mfscreen",0.355,0.00234520787991269,0.352999999999998,0.359000000000002,1,5
100000,5000,3.72529029846191,"mfscreen",0.708666666666664,0.00152752523164839,0.707000000000001,0.709999999999994,1,3
10000,10000,0.745058059692383,"mfscreen",0.142399999999999,0.00089442719099942,0.141999999999996,0.143999999999998,1,5
50000,10000,3.72529029846191,"mfscreen",0.715000000000001,4.10257077574402e-15,0.714999999999996,0.715000000000003,1,3
100000,10000,7.45058059692383,"mfscreen",1.43666666666667,0.00351188458427943,1.43300000000001,1.44,1,3
10000,1000,0.0745058059692383,"mfscreen2",0.001306640625,2.79352477919291e-05,0.001265625,0.001359375,128,8
50000,1000,0.372529029846191,"mfscreen2",0.00609765625,0.000128779361249874,0.00587500000000002,0.00628124999999996,32,8
100000,1000,0.745058059692383,"mfscreen2",0.0121625,0.000129602758458317,0.0120625,0.012375,16,5
10000,5000,0.372529029846191,"mfscreen2",0.00617578125,0.000171925723034895,0.00587499999999996,0.00640624999999995,32,8
50000,5000,1.86264514923096,"mfscreen2",0.0275,0.00039528470752125,0.0270000000000001,0.0280000000000005,4,5
100000,5000,3.72529029846191,"mfscreen2",0.0496666666666658,0.00125830573921074,0.0485000000000007,0.0509999999999984,2,3
10000,10000,0.745058059692383,"mfscreen2",0.0121125000000001,0.000135496771179224,0.0119375000000002,0.0123125000000002,16,5
50000,10000,3.72529029846191,"mfscreen2",0.0508333333333333,0.00150692844333638,0.0492499999999989,0.0522500000000008,4,3
100000,10000,7.45058059692383,"mfscreen2",0.0954999999999989,0.000499999999998835,0.0949999999999989,0.0959999999999965,2,3
