"model","method","replication","q","fpr","ssp"
"Parametric linear","Spearman SIS",4,0.001,0,0
"Parametric linear","Spearman SIS",4,0.005,0.00402010050251256,0
"Parametric linear","Spearman SIS",4,0.01,0.0150753768844221,0
"Parametric linear","Spearman SIS",4,0.025,0.0251256281407035,1
"Parametric linear","Spearman SIS",4,0.05,0.0452261306532663,1
"Parametric linear","Spearman SIS",4,0.1,0.114572864321608,1
"Parametric linear","Spearman SIS",4,0.2,0.228140703517588,1
"Parametric linear","Spearman SIS",4,0.3,0.310552763819095,1
"Parametric linear","mfscreen",5,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",5,0.005,0.00603015075376884,0
"Parametric linear","mfscreen",5,0.01,0.014070351758794,0
"Parametric linear","mfscreen",5,0.025,0.0311557788944724,0
"Parametric linear","mfscreen",5,0.05,0.0542713567839196,0
"Parametric linear","mfscreen",5,0.1,0.0954773869346734,0
"Parametric linear","mfscreen",5,0.2,0.198994974874372,1
"Parametric linear","mfscreen",5,0.3,0.292462311557789,1
"Parametric linear","Pearson SIS",5,0.001,0,0
"Parametric linear","Pearson SIS",5,0.005,0.0050251256281407,0
"Parametric linear","Pearson SIS",5,0.01,0.0130653266331658,0
"Parametric linear","Pearson SIS",5,0.025,0.0291457286432161,0
"Parametric linear","Pearson SIS",5,0.05,0.0552763819095477,0
"Parametric linear","Pearson SIS",5,0.1,0.0934673366834171,0
"Parametric linear","Pearson SIS",5,0.2,0.201005025125628,1
"Parametric linear","Pearson SIS",5,0.3,0.292462311557789,1
"Parametric linear","Spearman SIS",5,0.001,0,0
"Parametric linear","Spearman SIS",5,0.005,0.00301507537688442,0
"Parametric linear","Spearman SIS",5,0.01,0.0100502512562814,0
"Parametric linear","Spearman SIS",5,0.025,0.0261306532663317,0
"Parametric linear","Spearman SIS",5,0.05,0.0592964824120603,0
"Parametric linear","Spearman SIS",5,0.1,0.0974874371859296,0
"Parametric linear","Spearman SIS",5,0.2,0.186934673366834,1
"Parametric linear","Spearman SIS",5,0.3,0.299497487437186,1
"Parametric linear","mfscreen",6,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",6,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",6,0.01,0.0120603015075377,0
"Parametric linear","mfscreen",6,0.025,0.021105527638191,0
"Parametric linear","mfscreen",6,0.05,0.0462311557788945,0
"Parametric linear","mfscreen",6,0.1,0.0874371859296482,0
"Parametric linear","mfscreen",6,0.2,0.193969849246231,1
"Parametric linear","mfscreen",6,0.3,0.290452261306533,1
"Parametric linear","Pearson SIS",6,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",6,0.005,0.00603015075376884,0
"Parametric linear","Pearson SIS",6,0.01,0.0110552763819095,0
"Parametric linear","Pearson SIS",6,0.025,0.021105527638191,0
"Parametric linear","Pearson SIS",6,0.05,0.0442211055276382,0
"Parametric linear","Pearson SIS",6,0.1,0.0914572864321608,0
"Parametric linear","Pearson SIS",6,0.2,0.193969849246231,1
"Parametric linear","Pearson SIS",6,0.3,0.290452261306533,1
"Parametric linear","Spearman SIS",6,0.001,0.00201005025125628,0
"Parametric linear","Spearman SIS",6,0.005,0.00804020100502513,0
"Parametric linear","Spearman SIS",6,0.01,0.0100502512562814,0
"Parametric linear","Spearman SIS",6,0.025,0.0231155778894472,0
"Parametric linear","Spearman SIS",6,0.05,0.0482412060301508,0
"Parametric linear","Spearman SIS",6,0.1,0.10251256281407,0
"Parametric linear","Spearman SIS",6,0.2,0.190954773869347,1
"Parametric linear","Spearman SIS",6,0.3,0.273366834170854,1
"Parametric linear","mfscreen",7,0.001,0,0
"Parametric linear","mfscreen",7,0.005,0.0050251256281407,0
"Parametric linear","mfscreen",7,0.01,0.0130653266331658,0
"Parametric linear","mfscreen",7,0.025,0.0241206030150754,0
"Parametric linear","mfscreen",7,0.05,0.0482412060301508,0
"Parametric linear","mfscreen",7,0.1,0.0954773869346734,0
"Parametric linear","mfscreen",7,0.2,0.195979899497487,1
"Parametric linear","mfscreen",7,0.3,0.316582914572864,1
"Parametric linear","Pearson SIS",7,0.001,0,0
"Parametric linear","Pearson SIS",7,0.005,0.00402010050251256,0
"Parametric linear","Pearson SIS",7,0.01,0.0120603015075377,0
"Parametric linear","Pearson SIS",7,0.025,0.0251256281407035,0
"Parametric linear","Pearson SIS",7,0.05,0.0462311557788945,0
"Parametric linear","Pearson SIS",7,0.1,0.092462311557789,0
"Parametric linear","Pearson SIS",7,0.2,0.192964824120603,1
"Parametric linear","Pearson SIS",7,0.3,0.314572864321608,1
"Parametric linear","Spearman SIS",7,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",7,0.005,0.00603015075376884,0
"Parametric linear","Spearman SIS",7,0.01,0.0110552763819095,0
"Parametric linear","Spearman SIS",7,0.025,0.0221105527638191,0
"Parametric linear","Spearman SIS",7,0.05,0.0442211055276382,0
"Parametric linear","Spearman SIS",7,0.1,0.0894472361809045,0
"Parametric linear","Spearman SIS",7,0.2,0.196984924623116,1
"Parametric linear","Spearman SIS",7,0.3,0.307537688442211,1
"Parametric linear","mfscreen",8,0.001,0,0
