"model","method","replication","q","fpr","ssp"
"Parametric linear","mfscreen",46,0.05,0.0452261306532663,1
"Parametric linear","mfscreen",46,0.1,0.0934673366834171,1
"Parametric linear","mfscreen",46,0.2,0.187939698492462,1
"Parametric linear","mfscreen",46,0.3,0.285427135678392,1
"Parametric linear","Pearson SIS",46,0.001,0,0
"Parametric linear","Pearson SIS",46,0.005,0.00301507537688442,0
"Parametric linear","Pearson SIS",46,0.01,0.00603015075376884,0
"Parametric linear","Pearson SIS",46,0.025,0.021105527638191,0
"Parametric linear","Pearson SIS",46,0.05,0.0422110552763819,1
"Parametric linear","Pearson SIS",46,0.1,0.0914572864321608,1
"Parametric linear","Pearson SIS",46,0.2,0.190954773869347,1
"Parametric linear","Pearson SIS",46,0.3,0.287437185929648,1
"Parametric linear","Spearman SIS",46,0.001,0,0
"Parametric linear","Spearman SIS",46,0.005,0.00301507537688442,0
"Parametric linear","Spearman SIS",46,0.01,0.00603015075376884,0
"Parametric linear","Spearman SIS",46,0.025,0.0170854271356784,1
"Parametric linear","Spearman SIS",46,0.05,0.0442211055276382,1
"Parametric linear","Spearman SIS",46,0.1,0.0914572864321608,1
"Parametric linear","Spearman SIS",46,0.2,0.186934673366834,1
"Parametric linear","Spearman SIS",46,0.3,0.289447236180905,1
"Parametric linear","mfscreen",47,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",47,0.005,0.0050251256281407,0
"Parametric linear","mfscreen",47,0.01,0.0110552763819095,0
"Parametric linear","mfscreen",47,0.025,0.0331658291457286,0
"Parametric linear","mfscreen",47,0.05,0.0552763819095477,0
"Parametric linear","mfscreen",47,0.1,0.107537688442211,0
"Parametric linear","mfscreen",47,0.2,0.207035175879397,0
"Parametric linear","mfscreen",47,0.3,0.280402010050251,0
"Parametric linear","Pearson SIS",47,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",47,0.005,0.00603015075376884,0
"Parametric linear","Pearson SIS",47,0.01,0.0120603015075377,0
"Parametric linear","Pearson SIS",47,0.025,0.0311557788944724,0
"Parametric linear","Pearson SIS",47,0.05,0.057286432160804,0
"Parametric linear","Pearson SIS",47,0.1,0.108542713567839,0
"Parametric linear","Pearson SIS",47,0.2,0.205025125628141,0
"Parametric linear","Pearson SIS",47,0.3,0.280402010050251,0
"Parametric linear","Spearman SIS",47,0.001,0,0
"Parametric linear","Spearman SIS",47,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",47,0.01,0.0110552763819095,0
"Parametric linear","Spearman SIS",47,0.025,0.0301507537688442,0
"Parametric linear","Spearman SIS",47,0.05,0.057286432160804,0
"Parametric linear","Spearman SIS",47,0.1,0.114572864321608,0
"Parametric linear","Spearman SIS",47,0.2,0.192964824120603,0
"Parametric linear","Spearman SIS",47,0.3,0.29748743718593,0
"Parametric linear","mfscreen",48,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",48,0.005,0.00301507537688442,0
"Parametric linear","mfscreen",48,0.01,0.0110552763819095,0
"Parametric linear","mfscreen",48,0.025,0.0281407035175879,0
"Parametric linear","mfscreen",48,0.05,0.0613065326633166,0
"Parametric linear","mfscreen",48,0.1,0.11356783919598,0
"Parametric linear","mfscreen",48,0.2,0.208040201005025,1
"Parametric linear","mfscreen",48,0.3,0.320603015075377,1
"Parametric linear","Pearson SIS",48,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",48,0.005,0.00402010050251256,0
"Parametric linear","Pearson SIS",48,0.01,0.0120603015075377,0
"Parametric linear","Pearson SIS",48,0.025,0.0281407035175879,0
"Parametric linear","Pearson SIS",48,0.05,0.0592964824120603,0
"Parametric linear","Pearson SIS",48,0.1,0.110552763819095,0
"Parametric linear","Pearson SIS",48,0.2,0.208040201005025,1
"Parametric linear","Pearson SIS",48,0.3,0.320603015075377,1
"Parametric linear","Spearman SIS",48,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",48,0.005,0.00301507537688442,0
"Parametric linear","Spearman SIS",48,0.01,0.0110552763819095,0
"Parametric linear","Spearman SIS",48,0.025,0.0271356783919598,0
"Parametric linear","Spearman SIS",48,0.05,0.0613065326633166,0
"Parametric linear","Spearman SIS",48,0.1,0.107537688442211,1
"Parametric linear","Spearman SIS",48,0.2,0.195979899497487,1
"Parametric linear","Spearman SIS",48,0.3,0.299497487437186,1
"Parametric linear","mfscreen",49,0.001,0,0
"Parametric linear","mfscreen",49,0.005,0.00301507537688442,0
"Parametric linear","mfscreen",49,0.01,0.0050251256281407,1
"Parametric linear","mfscreen",49,0.025,0.0201005025125628,1
"Parametric linear","mfscreen",49,0.05,0.04321608040201,1
"Parametric linear","mfscreen",49,0.1,0.0944723618090452,1
"Parametric linear","mfscreen",49,0.2,0.193969849246231,1
"Parametric linear","mfscreen",49,0.3,0.30251256281407,1
"Parametric linear","Pearson SIS",49,0.001,0,0
"Parametric linear","Pearson SIS",49,0.005,0.00301507537688442,0
"Parametric linear","Pearson SIS",49,0.01,0.00603015075376884,1
"Parametric linear","Pearson SIS",49,0.025,0.0190954773869347,1
"Parametric linear","Pearson SIS",49,0.05,0.0422110552763819,1
"Parametric linear","Pearson SIS",49,0.1,0.0934673366834171,1
"Parametric linear","Pearson SIS",49,0.2,0.193969849246231,1
"Parametric linear","Pearson SIS",49,0.3,0.300502512562814,1
"Parametric linear","Spearman SIS",49,0.001,0,0
"Parametric linear","Spearman SIS",49,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",49,0.01,0.00703517587939699,0
"Parametric linear","Spearman SIS",49,0.025,0.0241206030150754,1
"Parametric linear","Spearman SIS",49,0.05,0.0452261306532663,1
"Parametric linear","Spearman SIS",49,0.1,0.0964824120603015,1
"Parametric linear","Spearman SIS",49,0.2,0.195979899497487,1
"Parametric linear","Spearman SIS",49,0.3,0.296482412060302,1
"Parametric linear","mfscreen",50,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",50,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",50,0.01,0.0110552763819095,0
"Parametric linear","mfscreen",50,0.025,0.0231155778894472,1
"Parametric linear","mfscreen",50,0.05,0.0562814070351759,1
"Parametric linear","mfscreen",50,0.1,0.107537688442211,1
"Parametric linear","mfscreen",50,0.2,0.2,1
"Parametric linear","mfscreen",50,0.3,0.299497487437186,1
"Parametric linear","Pearson SIS",50,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",50,0.005,0.00703517587939699,0
"Parametric linear","Pearson SIS",50,0.01,0.00904522613065327,0
"Parametric linear","Pearson SIS",50,0.025,0.0261306532663317,1
"Parametric linear","Pearson SIS",50,0.05,0.0562814070351759,1
"Parametric linear","Pearson SIS",50,0.1,0.105527638190955,1
"Parametric linear","Pearson SIS",50,0.2,0.202010050251256,1
"Parametric linear","Pearson SIS",50,0.3,0.296482412060302,1
"Parametric linear","Spearman SIS",50,0.001,0.00301507537688442,0
"Parametric linear","Spearman SIS",50,0.005,0.00603015075376884,0
"Parametric linear","Spearman SIS",50,0.01,0.00904522613065327,0
"Parametric linear","Spearman SIS",50,0.025,0.021105527638191,0
"Parametric linear","Spearman SIS",50,0.05,0.0522613065326633,0
"Parametric linear","Spearman SIS",50,0.1,0.117587939698492,1
"Parametric linear","Spearman SIS",50,0.2,0.205025125628141,1
"Parametric linear","Spearman SIS",50,0.3,0.30251256281407,1
"Parametric linear","mfscreen",51,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",51,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",51,0.01,0.00904522613065327,0
"Parametric linear","mfscreen",51,0.025,0.0190954773869347,0
"Parametric linear","mfscreen",51,0.05,0.0402010050251256,0
"Parametric linear","mfscreen",51,0.1,0.0974874371859296,1
"Parametric linear","mfscreen",51,0.2,0.198994974874372,1
"Parametric linear","mfscreen",51,0.3,0.299497487437186,1
"Parametric linear","Pearson SIS",51,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",51,0.005,0.00603015075376884,0
"Parametric linear","Pearson SIS",51,0.01,0.00904522613065327,0
"Parametric linear","Pearson SIS",51,0.025,0.0180904522613065,0
"Parametric linear","Pearson SIS",51,0.05,0.0412060301507538,0
"Parametric linear","Pearson SIS",51,0.1,0.092462311557789,1
"Parametric linear","Pearson SIS",51,0.2,0.198994974874372,1
"Parametric linear","Pearson SIS",51,0.3,0.301507537688442,1
"Parametric linear","Spearman SIS",51,0.001,0.00301507537688442,0
"Parametric linear","Spearman SIS",51,0.005,0.00804020100502513,0
"Parametric linear","Spearman SIS",51,0.01,0.0100502512562814,0
"Parametric linear","Spearman SIS",51,0.025,0.0271356783919598,0
"Parametric linear","Spearman SIS",51,0.05,0.0452261306532663,0
"Parametric linear","Spearman SIS",51,0.1,0.104522613065327,1
"Parametric linear","Spearman SIS",51,0.2,0.205025125628141,1
"Parametric linear","Spearman SIS",51,0.3,0.299497487437186,1
"Parametric linear","mfscreen",52,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",52,0.005,0.00804020100502513,0
"Parametric linear","mfscreen",52,0.01,0.0110552763819095,0
"Parametric linear","mfscreen",52,0.025,0.0281407035175879,0
"Parametric linear","mfscreen",52,0.05,0.0492462311557789,0
"Parametric linear","mfscreen",52,0.1,0.107537688442211,0
"Parametric linear","mfscreen",52,0.2,0.204020100502513,0
"Parametric linear","mfscreen",52,0.3,0.299497487437186,1
"Parametric linear","Pearson SIS",52,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",52,0.005,0.00703517587939699,0
"Parametric linear","Pearson SIS",52,0.01,0.0110552763819095,0
"Parametric linear","Pearson SIS",52,0.025,0.0261306532663317,0
"Parametric linear","Pearson SIS",52,0.05,0.0492462311557789,0
"Parametric linear","Pearson SIS",52,0.1,0.104522613065327,0
"Parametric linear","Pearson SIS",52,0.2,0.202010050251256,0
"Parametric linear","Pearson SIS",52,0.3,0.299497487437186,1
"Parametric linear","Spearman SIS",52,0.001,0,0
"Parametric linear","Spearman SIS",52,0.005,0.00402010050251256,0
"Parametric linear","Spearman SIS",52,0.01,0.0110552763819095,0
"Parametric linear","Spearman SIS",52,0.025,0.0311557788944724,0
"Parametric linear","Spearman SIS",52,0.05,0.0552763819095477,0
"Parametric linear","Spearman SIS",52,0.1,0.110552763819095,0
"Parametric linear","Spearman SIS",52,0.2,0.204020100502513,0
"Parametric linear","Spearman SIS",52,0.3,0.29748743718593,0
"Parametric linear","mfscreen",53,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",53,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",53,0.01,0.0110552763819095,0
"Parametric linear","mfscreen",53,0.025,0.0341708542713568,0
"Parametric linear","mfscreen",53,0.05,0.0582914572864322,0
"Parametric linear","mfscreen",53,0.1,0.104522613065327,0
"Parametric linear","mfscreen",53,0.2,0.202010050251256,1
"Parametric linear","mfscreen",53,0.3,0.315577889447236,1
"Parametric linear","Pearson SIS",53,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",53,0.005,0.00603015075376884,0
"Parametric linear","Pearson SIS",53,0.01,0.0110552763819095,0
"Parametric linear","Pearson SIS",53,0.025,0.0361809045226131,0
"Parametric linear","Pearson SIS",53,0.05,0.0562814070351759,0
"Parametric linear","Pearson SIS",53,0.1,0.105527638190955,0
"Parametric linear","Pearson SIS",53,0.2,0.208040201005025,1
"Parametric linear","Pearson SIS",53,0.3,0.316582914572864,1
"Parametric linear","Spearman SIS",53,0.001,0.00301507537688442,0
"Parametric linear","Spearman SIS",53,0.005,0.0100502512562814,0
"Parametric linear","Spearman SIS",53,0.01,0.0190954773869347,0
"Parametric linear","Spearman SIS",53,0.025,0.0391959798994975,0
"Parametric linear","Spearman SIS",53,0.05,0.057286432160804,0
"Parametric linear","Spearman SIS",53,0.1,0.104522613065327,0
"Parametric linear","Spearman SIS",53,0.2,0.21105527638191,0
"Parametric linear","Spearman SIS",53,0.3,0.31356783919598,0
"Parametric linear","mfscreen",54,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",54,0.005,0.0110552763819095,0
"Parametric linear","mfscreen",54,0.01,0.0170854271356784,1
"Parametric linear","mfscreen",54,0.025,0.0341708542713568,1
"Parametric linear","mfscreen",54,0.05,0.0633165829145729,1
"Parametric linear","mfscreen",54,0.1,0.111557788944724,1
"Parametric linear","mfscreen",54,0.2,0.21105527638191,1
"Parametric linear","mfscreen",54,0.3,0.31356783919598,1
"Parametric linear","Pearson SIS",54,0.001,0.00201005025125628,0
"Parametric linear","Pearson SIS",54,0.005,0.0120603015075377,0
"Parametric linear","Pearson SIS",54,0.01,0.0170854271356784,1
"Parametric linear","Pearson SIS",54,0.025,0.0351758793969849,1
"Parametric linear","Pearson SIS",54,0.05,0.0613065326633166,1
"Parametric linear","Pearson SIS",54,0.1,0.111557788944724,1
"Parametric linear","Pearson SIS",54,0.2,0.204020100502513,1
"Parametric linear","Pearson SIS",54,0.3,0.314572864321608,1
"Parametric linear","Spearman SIS",54,0.001,0.00201005025125628,0
"Parametric linear","Spearman SIS",54,0.005,0.0110552763819095,0
"Parametric linear","Spearman SIS",54,0.01,0.0180904522613065,0
"Parametric linear","Spearman SIS",54,0.025,0.0291457286432161,1
"Parametric linear","Spearman SIS",54,0.05,0.0653266331658292,1
"Parametric linear","Spearman SIS",54,0.1,0.115577889447236,1
"Parametric linear","Spearman SIS",54,0.2,0.210050251256281,1
"Parametric linear","Spearman SIS",54,0.3,0.300502512562814,1
"Parametric linear","mfscreen",55,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",55,0.005,0.00301507537688442,0
"Parametric linear","mfscreen",55,0.01,0.014070351758794,0
"Parametric linear","mfscreen",55,0.025,0.0221105527638191,1
"Parametric linear","mfscreen",55,0.05,0.0582914572864322,1
"Parametric linear","mfscreen",55,0.1,0.10251256281407,1
"Parametric linear","mfscreen",55,0.2,0.21105527638191,1
"Parametric linear","mfscreen",55,0.3,0.292462311557789,1
"Parametric linear","Pearson SIS",55,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",55,0.005,0.00301507537688442,0
"Parametric linear","Pearson SIS",55,0.01,0.014070351758794,0
"Parametric linear","Pearson SIS",55,0.025,0.0261306532663317,0
"Parametric linear","Pearson SIS",55,0.05,0.057286432160804,1
"Parametric linear","Pearson SIS",55,0.1,0.0984924623115578,1
"Parametric linear","Pearson SIS",55,0.2,0.206030150753769,1
"Parametric linear","Pearson SIS",55,0.3,0.292462311557789,1
"Parametric linear","Spearman SIS",55,0.001,0.00201005025125628,0
"Parametric linear","Spearman SIS",55,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",55,0.01,0.0100502512562814,0
"Parametric linear","Spearman SIS",55,0.025,0.0261306532663317,0
"Parametric linear","Spearman SIS",55,0.05,0.0542713567839196,0
"Parametric linear","Spearman SIS",55,0.1,0.10251256281407,1
"Parametric linear","Spearman SIS",55,0.2,0.196984924623116,1
"Parametric linear","Spearman SIS",55,0.3,0.304522613065327,1
"Parametric linear","mfscreen",56,0.001,0,0
"Parametric linear","mfscreen",56,0.005,0.00301507537688442,0
"Parametric linear","mfscreen",56,0.01,0.0100502512562814,0
"Parametric linear","mfscreen",56,0.025,0.0271356783919598,0
"Parametric linear","mfscreen",56,0.05,0.0452261306532663,0
"Parametric linear","mfscreen",56,0.1,0.0904522613065327,0
"Parametric linear","mfscreen",56,0.2,0.206030150753769,0
"Parametric linear","mfscreen",56,0.3,0.303517587939699,0
"Parametric linear","Pearson SIS",56,0.001,0,0
"Parametric linear","Pearson SIS",56,0.005,0.00301507537688442,0
"Parametric linear","Pearson SIS",56,0.01,0.00703517587939699,0
"Parametric linear","Pearson SIS",56,0.025,0.0251256281407035,0
"Parametric linear","Pearson SIS",56,0.05,0.0482412060301508,0
"Parametric linear","Pearson SIS",56,0.1,0.0904522613065327,0
"Parametric linear","Pearson SIS",56,0.2,0.204020100502513,0
"Parametric linear","Pearson SIS",56,0.3,0.30251256281407,0
"Parametric linear","Spearman SIS",56,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",56,0.005,0.00402010050251256,0
"Parametric linear","Spearman SIS",56,0.01,0.0100502512562814,0
"Parametric linear","Spearman SIS",56,0.025,0.0231155778894472,0
"Parametric linear","Spearman SIS",56,0.05,0.0452261306532663,0
"Parametric linear","Spearman SIS",56,0.1,0.0994974874371859,0
"Parametric linear","Spearman SIS",56,0.2,0.204020100502513,0
"Parametric linear","Spearman SIS",56,0.3,0.304522613065327,1
"Parametric linear","mfscreen",57,0.001,0.00301507537688442,0
"Parametric linear","mfscreen",57,0.005,0.00603015075376884,0
"Parametric linear","mfscreen",57,0.01,0.00804020100502513,0
"Parametric linear","mfscreen",57,0.025,0.0150753768844221,0
"Parametric linear","mfscreen",57,0.05,0.0371859296482412,1
"Parametric linear","mfscreen",57,0.1,0.0944723618090452,1
"Parametric linear","mfscreen",57,0.2,0.194974874371859,1
"Parametric linear","mfscreen",57,0.3,0.303517587939699,1
"Parametric linear","Pearson SIS",57,0.001,0.00301507537688442,0
"Parametric linear","Pearson SIS",57,0.005,0.0050251256281407,0
"Parametric linear","Pearson SIS",57,0.01,0.00804020100502513,0
"Parametric linear","Pearson SIS",57,0.025,0.0160804020100503,0
"Parametric linear","Pearson SIS",57,0.05,0.0371859296482412,1
"Parametric linear","Pearson SIS",57,0.1,0.0934673366834171,1
"Parametric linear","Pearson SIS",57,0.2,0.198994974874372,1
"Parametric linear","Pearson SIS",57,0.3,0.303517587939699,1
"Parametric linear","Spearman SIS",57,0.001,0.00201005025125628,0
"Parametric linear","Spearman SIS",57,0.005,0.00603015075376884,0
"Parametric linear","Spearman SIS",57,0.01,0.0100502512562814,0
"Parametric linear","Spearman SIS",57,0.025,0.0170854271356784,0
"Parametric linear","Spearman SIS",57,0.05,0.0462311557788945,0
"Parametric linear","Spearman SIS",57,0.1,0.100502512562814,1
"Parametric linear","Spearman SIS",57,0.2,0.202010050251256,1
"Parametric linear","Spearman SIS",57,0.3,0.295477386934673,1
"Parametric linear","mfscreen",58,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",58,0.005,0.00100502512562814,0
"Parametric linear","mfscreen",58,0.01,0.00804020100502513,0
"Parametric linear","mfscreen",58,0.025,0.0281407035175879,0
"Parametric linear","mfscreen",58,0.05,0.0452261306532663,0
"Parametric linear","mfscreen",58,0.1,0.108542713567839,0
"Parametric linear","mfscreen",58,0.2,0.205025125628141,0
"Parametric linear","mfscreen",58,0.3,0.309547738693467,1
"Parametric linear","Pearson SIS",58,0.001,0,0
"Parametric linear","Pearson SIS",58,0.005,0.00201005025125628,0
"Parametric linear","Pearson SIS",58,0.01,0.00703517587939699,0
"Parametric linear","Pearson SIS",58,0.025,0.0261306532663317,0
"Parametric linear","Pearson SIS",58,0.05,0.04321608040201,0
"Parametric linear","Pearson SIS",58,0.1,0.107537688442211,0
"Parametric linear","Pearson SIS",58,0.2,0.204020100502513,0
"Parametric linear","Pearson SIS",58,0.3,0.311557788944724,1
"Parametric linear","Spearman SIS",58,0.001,0,0
"Parametric linear","Spearman SIS",58,0.005,0.00301507537688442,0
"Parametric linear","Spearman SIS",58,0.01,0.0110552763819095,0
"Parametric linear","Spearman SIS",58,0.025,0.0321608040201005,0
"Parametric linear","Spearman SIS",58,0.05,0.064321608040201,0
"Parametric linear","Spearman SIS",58,0.1,0.0984924623115578,0
"Parametric linear","Spearman SIS",58,0.2,0.18894472361809,0
"Parametric linear","Spearman SIS",58,0.3,0.283417085427136,0
"Parametric linear","mfscreen",59,0.001,0.00201005025125628,0
"Parametric linear","mfscreen",59,0.005,0.00904522613065327,1
"Parametric linear","mfscreen",59,0.01,0.0170854271356784,1
"Parametric linear","mfscreen",59,0.025,0.0261306532663317,1
"Parametric linear","mfscreen",59,0.05,0.0462311557788945,1
"Parametric linear","mfscreen",59,0.1,0.0954773869346734,1
"Parametric linear","mfscreen",59,0.2,0.191959798994975,1
"Parametric linear","mfscreen",59,0.3,0.308542713567839,1
"Parametric linear","Pearson SIS",59,0.001,0.00301507537688442,0
"Parametric linear","Pearson SIS",59,0.005,0.00804020100502513,1
"Parametric linear","Pearson SIS",59,0.01,0.0150753768844221,1
"Parametric linear","Pearson SIS",59,0.025,0.0251256281407035,1
"Parametric linear","Pearson SIS",59,0.05,0.0452261306532663,1
"Parametric linear","Pearson SIS",59,0.1,0.0954773869346734,1
"Parametric linear","Pearson SIS",59,0.2,0.189949748743719,1
"Parametric linear","Pearson SIS",59,0.3,0.305527638190955,1
"Parametric linear","Spearman SIS",59,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",59,0.005,0.00603015075376884,0
"Parametric linear","Spearman SIS",59,0.01,0.0120603015075377,1
"Parametric linear","Spearman SIS",59,0.025,0.0261306532663317,1
"Parametric linear","Spearman SIS",59,0.05,0.0613065326633166,1
"Parametric linear","Spearman SIS",59,0.1,0.0964824120603015,1
"Parametric linear","Spearman SIS",59,0.2,0.18894472361809,1
"Parametric linear","Spearman SIS",59,0.3,0.288442211055276,1
"Parametric linear","mfscreen",60,0.001,0.00301507537688442,0
"Parametric linear","mfscreen",60,0.005,0.00703517587939699,0
"Parametric linear","mfscreen",60,0.01,0.0150753768844221,0
"Parametric linear","mfscreen",60,0.025,0.0311557788944724,0
"Parametric linear","mfscreen",60,0.05,0.050251256281407,1
"Parametric linear","mfscreen",60,0.1,0.10251256281407,1
"Parametric linear","mfscreen",60,0.2,0.203015075376884,1
"Parametric linear","mfscreen",60,0.3,0.289447236180905,1
"Parametric linear","Pearson SIS",60,0.001,0.00301507537688442,0
"Parametric linear","Pearson SIS",60,0.005,0.00703517587939699,0
"Parametric linear","Pearson SIS",60,0.01,0.014070351758794,0
"Parametric linear","Pearson SIS",60,0.025,0.0311557788944724,0
"Parametric linear","Pearson SIS",60,0.05,0.0512562814070352,1
"Parametric linear","Pearson SIS",60,0.1,0.100502512562814,1
"Parametric linear","Pearson SIS",60,0.2,0.203015075376884,1
"Parametric linear","Pearson SIS",60,0.3,0.287437185929648,1
"Parametric linear","Spearman SIS",60,0.001,0.00301507537688442,0
"Parametric linear","Spearman SIS",60,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",60,0.01,0.00904522613065327,0
"Parametric linear","Spearman SIS",60,0.025,0.0301507537688442,1
"Parametric linear","Spearman SIS",60,0.05,0.0512562814070352,1
"Parametric linear","Spearman SIS",60,0.1,0.0984924623115578,1
"Parametric linear","Spearman SIS",60,0.2,0.192964824120603,1
"Parametric linear","Spearman SIS",60,0.3,0.287437185929648,1
"Parametric linear","mfscreen",61,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",61,0.005,0.00904522613065327,0
"Parametric linear","mfscreen",61,0.01,0.0110552763819095,0
"Parametric linear","mfscreen",61,0.025,0.0221105527638191,0
"Parametric linear","mfscreen",61,0.05,0.0512562814070352,0
"Parametric linear","mfscreen",61,0.1,0.112562814070352,1
"Parametric linear","mfscreen",61,0.2,0.206030150753769,1
"Parametric linear","mfscreen",61,0.3,0.309547738693467,1
"Parametric linear","Pearson SIS",61,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",61,0.005,0.00703517587939699,0
"Parametric linear","Pearson SIS",61,0.01,0.0120603015075377,0
"Parametric linear","Pearson SIS",61,0.025,0.0251256281407035,0
"Parametric linear","Pearson SIS",61,0.05,0.0522613065326633,0
"Parametric linear","Pearson SIS",61,0.1,0.110552763819095,1
"Parametric linear","Pearson SIS",61,0.2,0.208040201005025,1
"Parametric linear","Pearson SIS",61,0.3,0.305527638190955,1
"Parametric linear","Spearman SIS",61,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",61,0.005,0.00904522613065327,0
"Parametric linear","Spearman SIS",61,0.01,0.0110552763819095,0
"Parametric linear","Spearman SIS",61,0.025,0.0221105527638191,0
"Parametric linear","Spearman SIS",61,0.05,0.0562814070351759,0
"Parametric linear","Spearman SIS",61,0.1,0.105527638190955,1
"Parametric linear","Spearman SIS",61,0.2,0.193969849246231,1
"Parametric linear","Spearman SIS",61,0.3,0.29748743718593,1
"Parametric linear","mfscreen",62,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",62,0.005,0.00603015075376884,0
"Parametric linear","mfscreen",62,0.01,0.014070351758794,0
"Parametric linear","mfscreen",62,0.025,0.0251256281407035,0
"Parametric linear","mfscreen",62,0.05,0.0512562814070352,0
"Parametric linear","mfscreen",62,0.1,0.0974874371859296,0
"Parametric linear","mfscreen",62,0.2,0.197989949748744,1
"Parametric linear","mfscreen",62,0.3,0.292462311557789,1
"Parametric linear","Pearson SIS",62,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",62,0.005,0.00603015075376884,0
"Parametric linear","Pearson SIS",62,0.01,0.0150753768844221,0
"Parametric linear","Pearson SIS",62,0.025,0.0241206030150754,0
"Parametric linear","Pearson SIS",62,0.05,0.0492462311557789,0
"Parametric linear","Pearson SIS",62,0.1,0.101507537688442,0
"Parametric linear","Pearson SIS",62,0.2,0.192964824120603,1
"Parametric linear","Pearson SIS",62,0.3,0.291457286432161,1
"Parametric linear","Spearman SIS",62,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",62,0.005,0.00703517587939699,0
"Parametric linear","Spearman SIS",62,0.01,0.0120603015075377,0
"Parametric linear","Spearman SIS",62,0.025,0.0271356783919598,0
"Parametric linear","Spearman SIS",62,0.05,0.057286432160804,0
"Parametric linear","Spearman SIS",62,0.1,0.104522613065327,0
"Parametric linear","Spearman SIS",62,0.2,0.193969849246231,1
"Parametric linear","Spearman SIS",62,0.3,0.294472361809045,1
"Parametric linear","mfscreen",63,0.001,0,0
"Parametric linear","mfscreen",63,0.005,0.00402010050251256,0
"Parametric linear","mfscreen",63,0.01,0.0110552763819095,0
"Parametric linear","mfscreen",63,0.025,0.0241206030150754,1
"Parametric linear","mfscreen",63,0.05,0.0492462311557789,1
"Parametric linear","mfscreen",63,0.1,0.103517587939698,1
"Parametric linear","mfscreen",63,0.2,0.21105527638191,1
"Parametric linear","mfscreen",63,0.3,0.293467336683417,1
"Parametric linear","Pearson SIS",63,0.001,0,0
"Parametric linear","Pearson SIS",63,0.005,0.00301507537688442,0
"Parametric linear","Pearson SIS",63,0.01,0.00904522613065327,0
"Parametric linear","Pearson SIS",63,0.025,0.0241206030150754,1
"Parametric linear","Pearson SIS",63,0.05,0.0452261306532663,1
"Parametric linear","Pearson SIS",63,0.1,0.10251256281407,1
"Parametric linear","Pearson SIS",63,0.2,0.208040201005025,1
"Parametric linear","Pearson SIS",63,0.3,0.293467336683417,1
"Parametric linear","Spearman SIS",63,0.001,0,0
"Parametric linear","Spearman SIS",63,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",63,0.01,0.00804020100502513,0
"Parametric linear","Spearman SIS",63,0.025,0.0190954773869347,1
"Parametric linear","Spearman SIS",63,0.05,0.0482412060301508,1
"Parametric linear","Spearman SIS",63,0.1,0.101507537688442,1
"Parametric linear","Spearman SIS",63,0.2,0.181909547738693,1
"Parametric linear","Spearman SIS",63,0.3,0.287437185929648,1
"Parametric linear","mfscreen",64,0.001,0,0
"Parametric linear","mfscreen",64,0.005,0.00804020100502513,0
"Parametric linear","mfscreen",64,0.01,0.0120603015075377,0
"Parametric linear","mfscreen",64,0.025,0.0331658291457286,0
"Parametric linear","mfscreen",64,0.05,0.0603015075376884,0
"Parametric linear","mfscreen",64,0.1,0.104522613065327,1
"Parametric linear","mfscreen",64,0.2,0.21105527638191,1
"Parametric linear","mfscreen",64,0.3,0.315577889447236,1
"Parametric linear","Pearson SIS",64,0.001,0,0
"Parametric linear","Pearson SIS",64,0.005,0.00603015075376884,0
"Parametric linear","Pearson SIS",64,0.01,0.0100502512562814,0
"Parametric linear","Pearson SIS",64,0.025,0.0311557788944724,0
"Parametric linear","Pearson SIS",64,0.05,0.0633165829145729,0
