"method","replication","q","fpr"
"Spearman SIS",32,0.005,0.01
"Spearman SIS",32,0.01,0.017
"Spearman SIS",32,0.025,0.039
"Spearman SIS",32,0.05,0.069
"Spearman SIS",32,0.1,0.14
"Spearman SIS",32,0.2,0.256
"Spearman SIS",32,0.3,0.35
"mfscreen",33,0.001,0.001
"mfscreen",33,0.005,0.004
"mfscreen",33,0.01,0.008
"mfscreen",33,0.025,0.019
"mfscreen",33,0.05,0.039
"mfscreen",33,0.1,0.104
"mfscreen",33,0.2,0.198
"mfscreen",33,0.3,0.291
"Pearson SIS",33,0.001,0.035
"Pearson SIS",33,0.005,0.084
"Pearson SIS",33,0.01,0.113
"Pearson SIS",33,0.025,0.164
"Pearson SIS",33,0.05,0.224
"Pearson SIS",33,0.1,0.315
"Pearson SIS",33,0.2,0.421
"Pearson SIS",33,0.3,0.513
"Spearman SIS",33,0.001,0.002
"Spearman SIS",33,0.005,0.01
"Spearman SIS",33,0.01,0.014
"Spearman SIS",33,0.025,0.032
"Spearman SIS",33,0.05,0.075
"Spearman SIS",33,0.1,0.131
"Spearman SIS",33,0.2,0.239
"Spearman SIS",33,0.3,0.329
"mfscreen",34,0.001,0
"mfscreen",34,0.005,0.01
"mfscreen",34,0.01,0.012
"mfscreen",34,0.025,0.035
"mfscreen",34,0.05,0.068
"mfscreen",34,0.1,0.136
"mfscreen",34,0.2,0.238
"mfscreen",34,0.3,0.345
"Pearson SIS",34,0.001,0.057
"Pearson SIS",34,0.005,0.115
"Pearson SIS",34,0.01,0.15
"Pearson SIS",34,0.025,0.208
"Pearson SIS",34,0.05,0.287
"Pearson SIS",34,0.1,0.361
"Pearson SIS",34,0.2,0.462
"Pearson SIS",34,0.3,0.552
"Spearman SIS",34,0.001,0.004
"Spearman SIS",34,0.005,0.016
"Spearman SIS",34,0.01,0.023
"Spearman SIS",34,0.025,0.043
"Spearman SIS",34,0.05,0.072
"Spearman SIS",34,0.1,0.13
"Spearman SIS",34,0.2,0.246
"Spearman SIS",34,0.3,0.335
"mfscreen",35,0.001,0.001
"mfscreen",35,0.005,0.004
"mfscreen",35,0.01,0.008
"mfscreen",35,0.025,0.019
"mfscreen",35,0.05,0.04
"mfscreen",35,0.1,0.094
"mfscreen",35,0.2,0.173
"mfscreen",35,0.3,0.271
"Pearson SIS",35,0.001,0.03
"Pearson SIS",35,0.005,0.067
"Pearson SIS",35,0.01,0.09
"Pearson SIS",35,0.025,0.135
"Pearson SIS",35,0.05,0.183
"Pearson SIS",35,0.1,0.268
"Pearson SIS",35,0.2,0.386
"Pearson SIS",35,0.3,0.492
"Spearman SIS",35,0.001,0.001
"Spearman SIS",35,0.005,0.003
"Spearman SIS",35,0.01,0.01
"Spearman SIS",35,0.025,0.027
"Spearman SIS",35,0.05,0.058
"Spearman SIS",35,0.1,0.122
"Spearman SIS",35,0.2,0.242
"Spearman SIS",35,0.3,0.347
"mfscreen",36,0.001,0.002
"mfscreen",36,0.005,0.009
"mfscreen",36,0.01,0.016
"mfscreen",36,0.025,0.03
"mfscreen",36,0.05,0.052
"mfscreen",36,0.1,0.105
"mfscreen",36,0.2,0.2
"mfscreen",36,0.3,0.285
"Pearson SIS",36,0.001,0.034
"Pearson SIS",36,0.005,0.073
"Pearson SIS",36,0.01,0.097
"Pearson SIS",36,0.025,0.144
"Pearson SIS",36,0.05,0.201
"Pearson SIS",36,0.1,0.272
"Pearson SIS",36,0.2,0.387
"Pearson SIS",36,0.3,0.475
"Spearman SIS",36,0.001,0.002
"Spearman SIS",36,0.005,0.011
"Spearman SIS",36,0.01,0.018
"Spearman SIS",36,0.025,0.044
"Spearman SIS",36,0.05,0.073
"Spearman SIS",36,0.1,0.133
"Spearman SIS",36,0.2,0.243
"Spearman SIS",36,0.3,0.347
"mfscreen",37,0.001,0
"mfscreen",37,0.005,0.004
"mfscreen",37,0.01,0.006
"mfscreen",37,0.025,0.028
"mfscreen",37,0.05,0.062
"mfscreen",37,0.1,0.108
"mfscreen",37,0.2,0.207
"mfscreen",37,0.3,0.301
"Pearson SIS",37,0.001,0.046
"Pearson SIS",37,0.005,0.085
"Pearson SIS",37,0.01,0.116
"Pearson SIS",37,0.025,0.167
"Pearson SIS",37,0.05,0.213
"Pearson SIS",37,0.1,0.301
"Pearson SIS",37,0.2,0.424
"Pearson SIS",37,0.3,0.515
"Spearman SIS",37,0.001,0.001
"Spearman SIS",37,0.005,0.016
"Spearman SIS",37,0.01,0.025
"Spearman SIS",37,0.025,0.041
"Spearman SIS",37,0.05,0.075
"Spearman SIS",37,0.1,0.13
"Spearman SIS",37,0.2,0.231
"Spearman SIS",37,0.3,0.342
"mfscreen",38,0.001,0.002
"mfscreen",38,0.005,0.012
"mfscreen",38,0.01,0.021
"mfscreen",38,0.025,0.034
"mfscreen",38,0.05,0.065
"mfscreen",38,0.1,0.11
"mfscreen",38,0.2,0.21
"mfscreen",38,0.3,0.317
"Pearson SIS",38,0.001,0.031
"Pearson SIS",38,0.005,0.055
"Pearson SIS",38,0.01,0.081
"Pearson SIS",38,0.025,0.127
"Pearson SIS",38,0.05,0.181
"Pearson SIS",38,0.1,0.261
"Pearson SIS",38,0.2,0.384
"Pearson SIS",38,0.3,0.471
"Spearman SIS",38,0.001,0.002
"Spearman SIS",38,0.005,0.012
"Spearman SIS",38,0.01,0.027
"Spearman SIS",38,0.025,0.059
"Spearman SIS",38,0.05,0.1
"Spearman SIS",38,0.1,0.172
"Spearman SIS",38,0.2,0.263
"Spearman SIS",38,0.3,0.384
"mfscreen",39,0.001,0
"mfscreen",39,0.005,0.003
"mfscreen",39,0.01,0.008
"mfscreen",39,0.025,0.03
"mfscreen",39,0.05,0.048
"mfscreen",39,0.1,0.105
"mfscreen",39,0.2,0.217
"mfscreen",39,0.3,0.309
"Pearson SIS",39,0.001,0.034
"Pearson SIS",39,0.005,0.075
"Pearson SIS",39,0.01,0.109
"Pearson SIS",39,0.025,0.163
"Pearson SIS",39,0.05,0.224
"Pearson SIS",39,0.1,0.306
"Pearson SIS",39,0.2,0.425
"Pearson SIS",39,0.3,0.515
"Spearman SIS",39,0.001,0.003
"Spearman SIS",39,0.005,0.016
"Spearman SIS",39,0.01,0.027
"Spearman SIS",39,0.025,0.053
"Spearman SIS",39,0.05,0.078
"Spearman SIS",39,0.1,0.137
"Spearman SIS",39,0.2,0.249
"Spearman SIS",39,0.3,0.338
"mfscreen",40,0.001,0.003
"mfscreen",40,0.005,0.009
"mfscreen",40,0.01,0.014
"mfscreen",40,0.025,0.031
"mfscreen",40,0.05,0.057
"mfscreen",40,0.1,0.098
"mfscreen",40,0.2,0.194
"mfscreen",40,0.3,0.293
"Pearson SIS",40,0.001,0.028
"Pearson SIS",40,0.005,0.055
"Pearson SIS",40,0.01,0.074
"Pearson SIS",40,0.025,0.121
"Pearson SIS",40,0.05,0.17
"Pearson SIS",40,0.1,0.255
"Pearson SIS",40,0.2,0.379
"Pearson SIS",40,0.3,0.473
"Spearman SIS",40,0.001,0.002
"Spearman SIS",40,0.005,0.01
"Spearman SIS",40,0.01,0.018
"Spearman SIS",40,0.025,0.039
"Spearman SIS",40,0.05,0.067
"Spearman SIS",40,0.1,0.114
"Spearman SIS",40,0.2,0.239
"Spearman SIS",40,0.3,0.333
"mfscreen",41,0.001,0.002
"mfscreen",41,0.005,0.005
"mfscreen",41,0.01,0.012
"mfscreen",41,0.025,0.021
"mfscreen",41,0.05,0.044
"mfscreen",41,0.1,0.085
"mfscreen",41,0.2,0.187
"mfscreen",41,0.3,0.291
"Pearson SIS",41,0.001,0.052
"Pearson SIS",41,0.005,0.084
"Pearson SIS",41,0.01,0.113
"Pearson SIS",41,0.025,0.178
"Pearson SIS",41,0.05,0.241
"Pearson SIS",41,0.1,0.33
"Pearson SIS",41,0.2,0.448
"Pearson SIS",41,0.3,0.536
"Spearman SIS",41,0.001,0.005
"Spearman SIS",41,0.005,0.018
"Spearman SIS",41,0.01,0.02
"Spearman SIS",41,0.025,0.037
"Spearman SIS",41,0.05,0.067
"Spearman SIS",41,0.1,0.121
"Spearman SIS",41,0.2,0.237
"Spearman SIS",41,0.3,0.351
"mfscreen",42,0.001,0.002
"mfscreen",42,0.005,0.005
"mfscreen",42,0.01,0.01
"mfscreen",42,0.025,0.025
"mfscreen",42,0.05,0.051
"mfscreen",42,0.1,0.089
"mfscreen",42,0.2,0.185
"mfscreen",42,0.3,0.308
"Pearson SIS",42,0.001,0.037
"Pearson SIS",42,0.005,0.072
"Pearson SIS",42,0.01,0.1
"Pearson SIS",42,0.025,0.149
"Pearson SIS",42,0.05,0.211
"Pearson SIS",42,0.1,0.304
"Pearson SIS",42,0.2,0.424
"Pearson SIS",42,0.3,0.53
"Spearman SIS",42,0.001,0.002
"Spearman SIS",42,0.005,0.004
"Spearman SIS",42,0.01,0.011
"Spearman SIS",42,0.025,0.033
"Spearman SIS",42,0.05,0.069
"Spearman SIS",42,0.1,0.116
"Spearman SIS",42,0.2,0.22
"Spearman SIS",42,0.3,0.333
"mfscreen",43,0.001,0
"mfscreen",43,0.005,0.004
"mfscreen",43,0.01,0.006
"mfscreen",43,0.025,0.026
"mfscreen",43,0.05,0.056
"mfscreen",43,0.1,0.095
"mfscreen",43,0.2,0.184
"mfscreen",43,0.3,0.288
"Pearson SIS",43,0.001,0.032
"Pearson SIS",43,0.005,0.07
"Pearson SIS",43,0.01,0.088
"Pearson SIS",43,0.025,0.134
"Pearson SIS",43,0.05,0.189
"Pearson SIS",43,0.1,0.276
"Pearson SIS",43,0.2,0.392
"Pearson SIS",43,0.3,0.495
"Spearman SIS",43,0.001,0.001
"Spearman SIS",43,0.005,0.007
"Spearman SIS",43,0.01,0.016
"Spearman SIS",43,0.025,0.03
"Spearman SIS",43,0.05,0.056
"Spearman SIS",43,0.1,0.12
"Spearman SIS",43,0.2,0.231
"Spearman SIS",43,0.3,0.325
"mfscreen",44,0.001,0.001
"mfscreen",44,0.005,0.006
"mfscreen",44,0.01,0.013
"mfscreen",44,0.025,0.031
"mfscreen",44,0.05,0.057
"mfscreen",44,0.1,0.107
"mfscreen",44,0.2,0.214
"mfscreen",44,0.3,0.318
"Pearson SIS",44,0.001,0.051
"Pearson SIS",44,0.005,0.094
"Pearson SIS",44,0.01,0.127
"Pearson SIS",44,0.025,0.185
"Pearson SIS",44,0.05,0.241
"Pearson SIS",44,0.1,0.33
"Pearson SIS",44,0.2,0.464
"Pearson SIS",44,0.3,0.552
"Spearman SIS",44,0.001,0.003
"Spearman SIS",44,0.005,0.012
"Spearman SIS",44,0.01,0.017
"Spearman SIS",44,0.025,0.05
"Spearman SIS",44,0.05,0.088
"Spearman SIS",44,0.1,0.14
"Spearman SIS",44,0.2,0.252
"Spearman SIS",44,0.3,0.361
"mfscreen",45,0.001,0
"mfscreen",45,0.005,0.004
"mfscreen",45,0.01,0.007
"mfscreen",45,0.025,0.034
"mfscreen",45,0.05,0.061
"mfscreen",45,0.1,0.1
"mfscreen",45,0.2,0.203
"mfscreen",45,0.3,0.315
"Pearson SIS",45,0.001,0.05
"Pearson SIS",45,0.005,0.085
"Pearson SIS",45,0.01,0.108
"Pearson SIS",45,0.025,0.162
"Pearson SIS",45,0.05,0.217
"Pearson SIS",45,0.1,0.307
"Pearson SIS",45,0.2,0.422
"Pearson SIS",45,0.3,0.516
"Spearman SIS",45,0.001,0.002
"Spearman SIS",45,0.005,0.009
"Spearman SIS",45,0.01,0.02
"Spearman SIS",45,0.025,0.04
"Spearman SIS",45,0.05,0.073
"Spearman SIS",45,0.1,0.138
"Spearman SIS",45,0.2,0.242
"Spearman SIS",45,0.3,0.332
"mfscreen",46,0.001,0.001
"mfscreen",46,0.005,0.002
"mfscreen",46,0.01,0.004
"mfscreen",46,0.025,0.016
"mfscreen",46,0.05,0.041
"mfscreen",46,0.1,0.09
"mfscreen",46,0.2,0.201
"mfscreen",46,0.3,0.294
"Pearson SIS",46,0.001,0.084
"Pearson SIS",46,0.005,0.141
"Pearson SIS",46,0.01,0.181
"Pearson SIS",46,0.025,0.241
"Pearson SIS",46,0.05,0.311
"Pearson SIS",46,0.1,0.382
"Pearson SIS",46,0.2,0.489
"Pearson SIS",46,0.3,0.566
"Spearman SIS",46,0.001,0.003
"Spearman SIS",46,0.005,0.01
"Spearman SIS",46,0.01,0.016
"Spearman SIS",46,0.025,0.039
"Spearman SIS",46,0.05,0.078
"Spearman SIS",46,0.1,0.137
"Spearman SIS",46,0.2,0.221
"Spearman SIS",46,0.3,0.312
"mfscreen",47,0.001,0.001
"mfscreen",47,0.005,0.009
"mfscreen",47,0.01,0.012
"mfscreen",47,0.025,0.033
"mfscreen",47,0.05,0.061
"mfscreen",47,0.1,0.107
"mfscreen",47,0.2,0.203
"mfscreen",47,0.3,0.299
"Pearson SIS",47,0.001,0.026
"Pearson SIS",47,0.005,0.053
"Pearson SIS",47,0.01,0.077
"Pearson SIS",47,0.025,0.122
"Pearson SIS",47,0.05,0.178
"Pearson SIS",47,0.1,0.251
"Pearson SIS",47,0.2,0.363
"Pearson SIS",47,0.3,0.461
"Spearman SIS",47,0.001,0.003
"Spearman SIS",47,0.005,0.012
"Spearman SIS",47,0.01,0.02
"Spearman SIS",47,0.025,0.047
"Spearman SIS",47,0.05,0.076
"Spearman SIS",47,0.1,0.138
"Spearman SIS",47,0.2,0.24
"Spearman SIS",47,0.3,0.346
"mfscreen",48,0.001,0.002
"mfscreen",48,0.005,0.01
"mfscreen",48,0.01,0.016
"mfscreen",48,0.025,0.039
"mfscreen",48,0.05,0.063
"mfscreen",48,0.1,0.121
"mfscreen",48,0.2,0.209
"mfscreen",48,0.3,0.296
"Pearson SIS",48,0.001,0.054
"Pearson SIS",48,0.005,0.096
"Pearson SIS",48,0.01,0.121
"Pearson SIS",48,0.025,0.168
"Pearson SIS",48,0.05,0.224
"Pearson SIS",48,0.1,0.294
"Pearson SIS",48,0.2,0.397
"Pearson SIS",48,0.3,0.512
"Spearman SIS",48,0.001,0.005
"Spearman SIS",48,0.005,0.015
"Spearman SIS",48,0.01,0.025
"Spearman SIS",48,0.025,0.042
"Spearman SIS",48,0.05,0.074
"Spearman SIS",48,0.1,0.13
"Spearman SIS",48,0.2,0.229
"Spearman SIS",48,0.3,0.337
"mfscreen",49,0.001,0
"mfscreen",49,0.005,0.005
"mfscreen",49,0.01,0.011
"mfscreen",49,0.025,0.025
"mfscreen",49,0.05,0.06
"mfscreen",49,0.1,0.098
"mfscreen",49,0.2,0.193
"mfscreen",49,0.3,0.3
"Pearson SIS",49,0.001,0.036
"Pearson SIS",49,0.005,0.07
"Pearson SIS",49,0.01,0.097
"Pearson SIS",49,0.025,0.146
"Pearson SIS",49,0.05,0.207
"Pearson SIS",49,0.1,0.297
"Pearson SIS",49,0.2,0.413
"Pearson SIS",49,0.3,0.512
"Spearman SIS",49,0.001,0.001
"Spearman SIS",49,0.005,0.006
"Spearman SIS",49,0.01,0.013
"Spearman SIS",49,0.025,0.029
"Spearman SIS",49,0.05,0.057
"Spearman SIS",49,0.1,0.124
"Spearman SIS",49,0.2,0.226
"Spearman SIS",49,0.3,0.328
"mfscreen",50,0.001,0.001
"mfscreen",50,0.005,0.008
"mfscreen",50,0.01,0.014
"mfscreen",50,0.025,0.026
"mfscreen",50,0.05,0.052
"mfscreen",50,0.1,0.107
"mfscreen",50,0.2,0.217
"mfscreen",50,0.3,0.309
"Pearson SIS",50,0.001,0.089
"Pearson SIS",50,0.005,0.13
"Pearson SIS",50,0.01,0.167
"Pearson SIS",50,0.025,0.224
"Pearson SIS",50,0.05,0.284
"Pearson SIS",50,0.1,0.373
"Pearson SIS",50,0.2,0.488
"Pearson SIS",50,0.3,0.574
"Spearman SIS",50,0.001,0.001
"Spearman SIS",50,0.005,0.012
"Spearman SIS",50,0.01,0.021
"Spearman SIS",50,0.025,0.036
"Spearman SIS",50,0.05,0.06
"Spearman SIS",50,0.1,0.127
"Spearman SIS",50,0.2,0.237
"Spearman SIS",50,0.3,0.347
"mfscreen",51,0.001,0.001
"mfscreen",51,0.005,0.006
"mfscreen",51,0.01,0.01
"mfscreen",51,0.025,0.023
"mfscreen",51,0.05,0.056
"mfscreen",51,0.1,0.115
"mfscreen",51,0.2,0.216
"mfscreen",51,0.3,0.335
"Pearson SIS",51,0.001,0.039
"Pearson SIS",51,0.005,0.079
"Pearson SIS",51,0.01,0.114
"Pearson SIS",51,0.025,0.166
"Pearson SIS",51,0.05,0.235
"Pearson SIS",51,0.1,0.315
"Pearson SIS",51,0.2,0.416
"Pearson SIS",51,0.3,0.522
"Spearman SIS",51,0.001,0.003
"Spearman SIS",51,0.005,0.007
"Spearman SIS",51,0.01,0.014
"Spearman SIS",51,0.025,0.03
"Spearman SIS",51,0.05,0.055
"Spearman SIS",51,0.1,0.105
"Spearman SIS",51,0.2,0.228
"Spearman SIS",51,0.3,0.332
"mfscreen",52,0.001,0
"mfscreen",52,0.005,0.003
"mfscreen",52,0.01,0.007
"mfscreen",52,0.025,0.019
"mfscreen",52,0.05,0.051
"mfscreen",52,0.1,0.097
"mfscreen",52,0.2,0.216
"mfscreen",52,0.3,0.296
"Pearson SIS",52,0.001,0.028
"Pearson SIS",52,0.005,0.062
"Pearson SIS",52,0.01,0.091
"Pearson SIS",52,0.025,0.151
"Pearson SIS",52,0.05,0.206
"Pearson SIS",52,0.1,0.279
"Pearson SIS",52,0.2,0.387
"Pearson SIS",52,0.3,0.498
"Spearman SIS",52,0.001,0.003
"Spearman SIS",52,0.005,0.008
"Spearman SIS",52,0.01,0.02
"Spearman SIS",52,0.025,0.042
"Spearman SIS",52,0.05,0.082
"Spearman SIS",52,0.1,0.135
"Spearman SIS",52,0.2,0.243
"Spearman SIS",52,0.3,0.341
"mfscreen",53,0.001,0
"mfscreen",53,0.005,0.009
"mfscreen",53,0.01,0.014
"mfscreen",53,0.025,0.026
"mfscreen",53,0.05,0.055
"mfscreen",53,0.1,0.106
"mfscreen",53,0.2,0.204
"mfscreen",53,0.3,0.307
"Pearson SIS",53,0.001,0.06
"Pearson SIS",53,0.005,0.113
"Pearson SIS",53,0.01,0.144
"Pearson SIS",53,0.025,0.197
"Pearson SIS",53,0.05,0.257
"Pearson SIS",53,0.1,0.336
"Pearson SIS",53,0.2,0.464
"Pearson SIS",53,0.3,0.56
"Spearman SIS",53,0.001,0.002
"Spearman SIS",53,0.005,0.012
"Spearman SIS",53,0.01,0.022
"Spearman SIS",53,0.025,0.037
"Spearman SIS",53,0.05,0.073
"Spearman SIS",53,0.1,0.132
"Spearman SIS",53,0.2,0.237
"Spearman SIS",53,0.3,0.329
"mfscreen",54,0.001,0
"mfscreen",54,0.005,0.005
"mfscreen",54,0.01,0.01
"mfscreen",54,0.025,0.03
"mfscreen",54,0.05,0.054
"mfscreen",54,0.1,0.11
"mfscreen",54,0.2,0.186
"mfscreen",54,0.3,0.296
"Pearson SIS",54,0.001,0.02
"Pearson SIS",54,0.005,0.054
"Pearson SIS",54,0.01,0.079
"Pearson SIS",54,0.025,0.121
"Pearson SIS",54,0.05,0.162
"Pearson SIS",54,0.1,0.246
"Pearson SIS",54,0.2,0.38
"Pearson SIS",54,0.3,0.456
"Spearman SIS",54,0.001,0.004
"Spearman SIS",54,0.005,0.008
"Spearman SIS",54,0.01,0.018
"Spearman SIS",54,0.025,0.042
"Spearman SIS",54,0.05,0.079
"Spearman SIS",54,0.1,0.14
"Spearman SIS",54,0.2,0.259
"Spearman SIS",54,0.3,0.356
"mfscreen",55,0.001,0.001
"mfscreen",55,0.005,0.001
"mfscreen",55,0.01,0.006
"mfscreen",55,0.025,0.026
"mfscreen",55,0.05,0.062
"mfscreen",55,0.1,0.098
"mfscreen",55,0.2,0.203
"mfscreen",55,0.3,0.296
"Pearson SIS",55,0.001,0.036
"Pearson SIS",55,0.005,0.073
"Pearson SIS",55,0.01,0.097
"Pearson SIS",55,0.025,0.148
"Pearson SIS",55,0.05,0.201
"Pearson SIS",55,0.1,0.283
"Pearson SIS",55,0.2,0.399
"Pearson SIS",55,0.3,0.498
"Spearman SIS",55,0.001,0.005
"Spearman SIS",55,0.005,0.008
"Spearman SIS",55,0.01,0.021
"Spearman SIS",55,0.025,0.042
"Spearman SIS",55,0.05,0.073
"Spearman SIS",55,0.1,0.136
"Spearman SIS",55,0.2,0.251
"Spearman SIS",55,0.3,0.361
"mfscreen",56,0.001,0.002
"mfscreen",56,0.005,0.006
"mfscreen",56,0.01,0.01
"mfscreen",56,0.025,0.027
"mfscreen",56,0.05,0.052
"mfscreen",56,0.1,0.104
"mfscreen",56,0.2,0.21
"mfscreen",56,0.3,0.284
"Pearson SIS",56,0.001,0.038
"Pearson SIS",56,0.005,0.087
"Pearson SIS",56,0.01,0.116
"Pearson SIS",56,0.025,0.174
"Pearson SIS",56,0.05,0.219
"Pearson SIS",56,0.1,0.299
"Pearson SIS",56,0.2,0.404
"Pearson SIS",56,0.3,0.529
"Spearman SIS",56,0.001,0.004
"Spearman SIS",56,0.005,0.013
"Spearman SIS",56,0.01,0.019
"Spearman SIS",56,0.025,0.039
"Spearman SIS",56,0.05,0.069
"Spearman SIS",56,0.1,0.116
"Spearman SIS",56,0.2,0.234
"Spearman SIS",56,0.3,0.339
"mfscreen",57,0.001,0.001
"mfscreen",57,0.005,0.003
"mfscreen",57,0.01,0.01
"mfscreen",57,0.025,0.038
"mfscreen",57,0.05,0.06
"mfscreen",57,0.1,0.113
"mfscreen",57,0.2,0.223
"mfscreen",57,0.3,0.32
"Pearson SIS",57,0.001,0.047
"Pearson SIS",57,0.005,0.09
"Pearson SIS",57,0.01,0.122
"Pearson SIS",57,0.025,0.182
"Pearson SIS",57,0.05,0.241
"Pearson SIS",57,0.1,0.326
"Pearson SIS",57,0.2,0.447
"Pearson SIS",57,0.3,0.529
"Spearman SIS",57,0.001,0.002
"Spearman SIS",57,0.005,0.009
"Spearman SIS",57,0.01,0.017
"Spearman SIS",57,0.025,0.043
"Spearman SIS",57,0.05,0.072
"Spearman SIS",57,0.1,0.133
"Spearman SIS",57,0.2,0.25
"Spearman SIS",57,0.3,0.347
"mfscreen",58,0.001,0.002
"mfscreen",58,0.005,0.005
"mfscreen",58,0.01,0.016
"mfscreen",58,0.025,0.03
"mfscreen",58,0.05,0.052
"mfscreen",58,0.1,0.115
"mfscreen",58,0.2,0.211
"mfscreen",58,0.3,0.297
"Pearson SIS",58,0.001,0.033
"Pearson SIS",58,0.005,0.089
"Pearson SIS",58,0.01,0.101
"Pearson SIS",58,0.025,0.164
"Pearson SIS",58,0.05,0.204
"Pearson SIS",58,0.1,0.288
"Pearson SIS",58,0.2,0.401
"Pearson SIS",58,0.3,0.509
"Spearman SIS",58,0.001,0
"Spearman SIS",58,0.005,0.01
"Spearman SIS",58,0.01,0.014
"Spearman SIS",58,0.025,0.032
"Spearman SIS",58,0.05,0.063
"Spearman SIS",58,0.1,0.126
"Spearman SIS",58,0.2,0.238
"Spearman SIS",58,0.3,0.354
"mfscreen",59,0.001,0.002
"mfscreen",59,0.005,0.007
"mfscreen",59,0.01,0.011
"mfscreen",59,0.025,0.021
"mfscreen",59,0.05,0.047
"mfscreen",59,0.1,0.097
"mfscreen",59,0.2,0.208
"mfscreen",59,0.3,0.312
"Pearson SIS",59,0.001,0.037
"Pearson SIS",59,0.005,0.077
"Pearson SIS",59,0.01,0.099
"Pearson SIS",59,0.025,0.16
"Pearson SIS",59,0.05,0.211
"Pearson SIS",59,0.1,0.297
"Pearson SIS",59,0.2,0.427
"Pearson SIS",59,0.3,0.519
"Spearman SIS",59,0.001,0.002
"Spearman SIS",59,0.005,0.007
"Spearman SIS",59,0.01,0.011
"Spearman SIS",59,0.025,0.033
"Spearman SIS",59,0.05,0.077
"Spearman SIS",59,0.1,0.134
"Spearman SIS",59,0.2,0.246
"Spearman SIS",59,0.3,0.348
"mfscreen",60,0.001,0.003
"mfscreen",60,0.005,0.005
"mfscreen",60,0.01,0.011
"mfscreen",60,0.025,0.025
"mfscreen",60,0.05,0.05
"mfscreen",60,0.1,0.109
"mfscreen",60,0.2,0.229
"mfscreen",60,0.3,0.335
"Pearson SIS",60,0.001,0.045
"Pearson SIS",60,0.005,0.09
"Pearson SIS",60,0.01,0.12
"Pearson SIS",60,0.025,0.175
"Pearson SIS",60,0.05,0.252
"Pearson SIS",60,0.1,0.35
"Pearson SIS",60,0.2,0.464
"Pearson SIS",60,0.3,0.555
"Spearman SIS",60,0.001,0.004
"Spearman SIS",60,0.005,0.01
"Spearman SIS",60,0.01,0.016
"Spearman SIS",60,0.025,0.037
"Spearman SIS",60,0.05,0.061
"Spearman SIS",60,0.1,0.118
"Spearman SIS",60,0.2,0.239
"Spearman SIS",60,0.3,0.336
"mfscreen",61,0.001,0
"mfscreen",61,0.005,0
"mfscreen",61,0.01,0.006
"mfscreen",61,0.025,0.016
"mfscreen",61,0.05,0.046
"mfscreen",61,0.1,0.121
"mfscreen",61,0.2,0.26
"mfscreen",61,0.3,0.35
"Pearson SIS",61,0.001,0.091
"Pearson SIS",61,0.005,0.171
"Pearson SIS",61,0.01,0.219
"Pearson SIS",61,0.025,0.299
"Pearson SIS",61,0.05,0.345
"Pearson SIS",61,0.1,0.43
"Pearson SIS",61,0.2,0.524
"Pearson SIS",61,0.3,0.603
"Spearman SIS",61,0.001,0.001
"Spearman SIS",61,0.005,0.008
"Spearman SIS",61,0.01,0.013
"Spearman SIS",61,0.025,0.036
"Spearman SIS",61,0.05,0.083
"Spearman SIS",61,0.1,0.142
"Spearman SIS",61,0.2,0.259
"Spearman SIS",61,0.3,0.369
"mfscreen",62,0.001,0
"mfscreen",62,0.005,0.003
"mfscreen",62,0.01,0.013
"mfscreen",62,0.025,0.029
"mfscreen",62,0.05,0.062
"mfscreen",62,0.1,0.106
"mfscreen",62,0.2,0.202
"mfscreen",62,0.3,0.304
"Pearson SIS",62,0.001,0.032
"Pearson SIS",62,0.005,0.079
"Pearson SIS",62,0.01,0.097
"Pearson SIS",62,0.025,0.158
"Pearson SIS",62,0.05,0.208
"Pearson SIS",62,0.1,0.275
"Pearson SIS",62,0.2,0.417
"Pearson SIS",62,0.3,0.509
"Spearman SIS",62,0.001,0.003
"Spearman SIS",62,0.005,0.009
"Spearman SIS",62,0.01,0.016
"Spearman SIS",62,0.025,0.036
"Spearman SIS",62,0.05,0.077
"Spearman SIS",62,0.1,0.147
"Spearman SIS",62,0.2,0.255
"Spearman SIS",62,0.3,0.334
"mfscreen",63,0.001,0.004
"mfscreen",63,0.005,0.005
"mfscreen",63,0.01,0.009
"mfscreen",63,0.025,0.021
"mfscreen",63,0.05,0.051
"mfscreen",63,0.1,0.1
"mfscreen",63,0.2,0.189
"mfscreen",63,0.3,0.292
"Pearson SIS",63,0.001,0.066
"Pearson SIS",63,0.005,0.112
"Pearson SIS",63,0.01,0.143
"Pearson SIS",63,0.025,0.205
"Pearson SIS",63,0.05,0.269
"Pearson SIS",63,0.1,0.352
"Pearson SIS",63,0.2,0.472
"Pearson SIS",63,0.3,0.555
"Spearman SIS",63,0.001,0.003
"Spearman SIS",63,0.005,0.008
"Spearman SIS",63,0.01,0.016
"Spearman SIS",63,0.025,0.039
"Spearman SIS",63,0.05,0.069
"Spearman SIS",63,0.1,0.129
"Spearman SIS",63,0.2,0.243
"Spearman SIS",63,0.3,0.345
"mfscreen",64,0.001,0.001
"mfscreen",64,0.005,0.003
"mfscreen",64,0.01,0.006
"mfscreen",64,0.025,0.024
"mfscreen",64,0.05,0.056
"mfscreen",64,0.1,0.112
"mfscreen",64,0.2,0.216
"mfscreen",64,0.3,0.31
"Pearson SIS",64,0.001,0.083
"Pearson SIS",64,0.005,0.139
"Pearson SIS",64,0.01,0.173
"Pearson SIS",64,0.025,0.23
"Pearson SIS",64,0.05,0.287
