"method","replication","q","fpr"
"Pearson SIS",7,0.001,0.039
"Pearson SIS",7,0.005,0.078
"Pearson SIS",7,0.01,0.105
"Pearson SIS",7,0.025,0.163
"Pearson SIS",7,0.05,0.22
"Pearson SIS",7,0.1,0.299
"Pearson SIS",7,0.2,0.439
"Pearson SIS",7,0.3,0.546
"Spearman SIS",7,0.001,0.001
"Spearman SIS",7,0.005,0.005
"Spearman SIS",7,0.01,0.014
"Spearman SIS",7,0.025,0.039
"Spearman SIS",7,0.05,0.077
"Spearman SIS",7,0.1,0.126
"Spearman SIS",7,0.2,0.23
"Spearman SIS",7,0.3,0.344
"mfscreen",8,0.001,0.003
"mfscreen",8,0.005,0.009
"mfscreen",8,0.01,0.012
"mfscreen",8,0.025,0.029
"mfscreen",8,0.05,0.055
"mfscreen",8,0.1,0.107
"mfscreen",8,0.2,0.216
"mfscreen",8,0.3,0.321
"Pearson SIS",8,0.001,0.034
"Pearson SIS",8,0.005,0.074
"Pearson SIS",8,0.01,0.1
"Pearson SIS",8,0.025,0.153
"Pearson SIS",8,0.05,0.221
"Pearson SIS",8,0.1,0.304
"Pearson SIS",8,0.2,0.441
"Pearson SIS",8,0.3,0.525
"Spearman SIS",8,0.001,0.003
"Spearman SIS",8,0.005,0.006
"Spearman SIS",8,0.01,0.018
"Spearman SIS",8,0.025,0.039
"Spearman SIS",8,0.05,0.073
"Spearman SIS",8,0.1,0.128
"Spearman SIS",8,0.2,0.244
"Spearman SIS",8,0.3,0.346
"mfscreen",9,0.001,0
"mfscreen",9,0.005,0.006
"mfscreen",9,0.01,0.013
"mfscreen",9,0.025,0.041
"mfscreen",9,0.05,0.065
"mfscreen",9,0.1,0.116
"mfscreen",9,0.2,0.217
"mfscreen",9,0.3,0.323
"Pearson SIS",9,0.001,0.051
"Pearson SIS",9,0.005,0.096
"Pearson SIS",9,0.01,0.121
"Pearson SIS",9,0.025,0.178
"Pearson SIS",9,0.05,0.233
"Pearson SIS",9,0.1,0.331
"Pearson SIS",9,0.2,0.441
"Pearson SIS",9,0.3,0.529
"Spearman SIS",9,0.001,0.002
"Spearman SIS",9,0.005,0.011
"Spearman SIS",9,0.01,0.016
"Spearman SIS",9,0.025,0.035
"Spearman SIS",9,0.05,0.065
"Spearman SIS",9,0.1,0.128
"Spearman SIS",9,0.2,0.235
"Spearman SIS",9,0.3,0.331
"mfscreen",10,0.001,0.002
"mfscreen",10,0.005,0.006
"mfscreen",10,0.01,0.011
"mfscreen",10,0.025,0.023
"mfscreen",10,0.05,0.053
"mfscreen",10,0.1,0.107
"mfscreen",10,0.2,0.199
"mfscreen",10,0.3,0.294
"Pearson SIS",10,0.001,0.037
"Pearson SIS",10,0.005,0.075
"Pearson SIS",10,0.01,0.102
"Pearson SIS",10,0.025,0.143
"Pearson SIS",10,0.05,0.192
"Pearson SIS",10,0.1,0.272
"Pearson SIS",10,0.2,0.405
"Pearson SIS",10,0.3,0.502
"Spearman SIS",10,0.001,0.005
"Spearman SIS",10,0.005,0.006
"Spearman SIS",10,0.01,0.011
"Spearman SIS",10,0.025,0.027
"Spearman SIS",10,0.05,0.059
"Spearman SIS",10,0.1,0.122
"Spearman SIS",10,0.2,0.228
"Spearman SIS",10,0.3,0.344
"mfscreen",11,0.001,0
